"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","100","8115","AF AM DANCE COMPNY FOUNDATIONS","Rosa,Iris","9","9","4","3.35","0","100","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","110","8116","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","13","19","3.7","3.14","5.6","84.6","7.7","7.7","0","6","0","8","3","1","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","0","0","3","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","113","30042","ATKINS LLC FOUNDATIONAL COURSE","Khan-Thomas,Zeba Yvonne","12","12","3.842","2.656","0","91.7","8.3","0","0","0","1","6","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","120","8117","SOUL REVUE FOUNDATIONS","Taliefero,Crystal Louise","9","10","4","3.219","0","100","0","0","0","1","3","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","150","8118","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","147","168","2.8","2.853","1.3","36.7","31.3","17","6.8","33","10","22","22","19","14","13","11","7","7","6","2","2","12","7","14","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","156","15633","JIM CROW AND APARTHEID","Mahady,Anne E.","27","32","3.407","3.1","0","63","22.2","11.1","0","6","5","9","3","2","4","0","1","2","0","0","0","0","1","2","3","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","203","15530","STUDYING BLACKS OF NEW WORLD","Smith,Candis D","32","36","2.756","2.625","0","21.9","50","18.8","6.3","5","0","1","6","3","9","4","2","3","1","1","0","1","1","0","4","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","210","15531","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","26","30","2.6","2.691","0","19.2","46.2","23.1","7.7","5","0","3","2","2","2","8","0","4","2","2","0","0","1","1","3","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","238","15528","COMMUNICATION IN BLACK AMERICA","Calloway-Thomas,Carolyn","25","39","2.972","2.658","0","24","60","16","0","14","0","1","5","3","5","7","2","0","2","0","0","0","0","6","3","5","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","249","15526","AFRICAN AMERICAN AUTOBIOGRAPHY","McElroy,Frederick L.","29","32","3.5","2.914","3.2","55.2","44.8","0","0","3","0","6","10","8","2","3","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","265","8123","MODRN SPORTS & AFRO-AMER EXPER","Sailes,Gary A.","125","141","3.043","2.799","0","40","36.8","16","4.8","19","4","21","25","19","15","12","10","4","6","2","4","0","3","3","13","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","290","33331","SOCIOCLTRL PERSP-AFR AMER MUS","Cohen,Judah M","12","21","2.592","2.803","0","25","50","8.3","0","11","0","0","3","0","5","1","1","0","0","0","0","0","2","3","6","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","295","12623","SURVEY OF HIP HOP","Orejuela,Fernando","76","97","3.104","3.026","0","35.5","43.4","19.7","1.3","21","5","10","12","12","14","7","4","7","4","0","1","0","0","13","7","1","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","8W2","Eight Week - Second","AAAD","AAAD-A","320","15523","BLACK DANCE HISTORY","Rosa,Iris","22","29","3.095","2.951","3.8","54.5","22.7","4.5","18.2","7","2","4","6","4","0","1","0","1","0","0","4","0","0","3","3","0","0","1","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","8W2","Eight Week - Second","AAAD","AAAD-A","331","36049","VISUAL ARTS HARLEM RENAISSANCE","Wolfskill,Phoebe","24","31","2.846","2.932","0","50","25","8.3","4.2","10","1","6","5","0","2","4","1","0","1","0","1","0","3","2","5","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","337","30043","SOUL REVUE ADV STU PRACT","Taliefero,Crystal Louise","6","6","4","2.824","0","100","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","352","30285","AFRI AM ART II:AFRI AM ARTISTS","Wolfskill,Phoebe","13","14","3.108","3.183","21.4","38.5","46.2","7.7","7.7","1","0","3","2","0","4","2","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","356","8140","AFRICAN-AMERICAN HISTORY II","Grim,Valerie","20","22","2.655","2.58","5","20","35","40","5","2","0","2","2","1","1","5","3","4","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","359","30287","ETHNIC/RACIAL FILM STEREOTYPES","Wester,Maisha","22","39","2.4","2.592","2.9","18.2","40.9","18.2","13.6","19","0","2","2","3","3","3","1","2","1","0","1","2","2","13","4","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","380","10143","CONTEMP BLACK AMER WRITING","McElroy,Frederick L.","20","31","3.58","2.988","5","55","45","0","0","11","0","4","7","9","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","8W2","Eight Week - Second","AAAD","AAAD-A","398","35832","ADV TPCS IN SOCIAL&HIST AAADS","Hamilton Abegunde,Maria Eliza","12","19","2.917","2.687","0","33.3","50","0","8.3","8","0","4","0","0","6","0","0","0","0","0","1","0","1","4","3","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","8W2","Eight Week - Second","AAAD","AAAD-A","399","13108","ADV TPCS ARTS&HUMANITIES AAADS","Wise,Raymond","15","26","3.067","2.769","0","33.3","46.7","13.3","6.7","11","0","2","3","3","1","3","2","0","0","1","0","0","0","3","8","0","0","0","0","0","0","0","0","06-16-2017",
"Spring 2017","4172","1","Regular Academic Session","AAAD","AAAD-A","420","17757","TRANSFORMNG DIV COMM&SOCIETIES","Calloway-Thomas,Carolyn","10","21","2.65","2.747","0","30","40","20","0","12","0","2","1","0","0","4","1","0","1","0","0","0","1","6","4","1","0","0","0","0","0","0","0","06-16-2017",
