"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","100","32839","AF AM DANCE COMPNY FOUNDATIONS","Berry Jr,Stafford C","12","13","4","2.953","0","100","0","0","0","1","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","110","4691","AF AM CHORAL ENSEMBL FOUNDATNS","Wise,Raymond","24","29","3.567","3.177","0","79.2","8.3","12.5","0","5","0","13","6","0","0","2","1","1","1","0","0","0","0","1","2","0","0","0","0","0","0","2","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","113","13450","ATKINS LLC FOUNDATIONAL COURSE","Khan-Thomas,Zeba Yvonne","36","37","3.756","2.823","0","88.9","8.3","0","0","2","6","18","8","2","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","120","4692","SOUL REVUE FOUNDATIONS","Strong Jr,James Augustas","14","16","4","3.423","0","100","0","0","0","2","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","150","4693","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","131","140","3.233","2.904",".7","50.4","34.4","9.2","1.5","15","13","36","17","20","16","9","4","4","4","1","1","0","6","4","5","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","154","14358","HISTORY OF RACE IN AMERICAS","Sterling,Andrea Marie","28","35","3.468","3.054","0","60.7","32.1","3.6","3.6","7","4","5","8","4","5","0","0","1","0","1","0","0","0","1","6","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","210","10967","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","29","37","3.041","3.053","0","37.9","37.9","20.7","3.4","8","0","3","8","4","5","2","2","2","2","0","1","0","0","4","4","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","251","32495","PHOTOGRPHY & AFRICAN DIASPORA","Wolfskill,Phoebe","20","24","2.925","3.117","0","25","50","10","15","4","0","4","1","5","5","0","1","1","0","1","1","1","0","0","4","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","264","5523","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","74","84","2.966","2.634","0","32.4","48.6","12.2","2.7","13","0","8","16","8","21","7","2","5","2","0","2","0","3","3","6","1","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","290","30129","SOCIOCLTRL PERSP-AFR AMER MUS","Cooper,Tyron","34","37","3.421","3.057","2.9","70.6","20.6","2.9","0","5","5","7","12","2","5","0","1","0","0","0","0","0","2","1","2","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","295","8535","SURVEY OF HIP HOP","Orejuela,Fernando","84","102","3.006","2.971","0","35.7","36.9","19","7.1","19","6","12","12","12","12","7","12","4","0","2","2","2","1","6","12","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","297","30130","POPULAR MUSIC OF BLACK AMERICA","Cooper,Tyron","36","45","3.364","3.043","0","52.8","38.9","5.6","0","10","2","9","8","6","7","1","1","0","1","0","0","0","1","4","5","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","8W2","Eight Week - Second","AAAD","AAAD-A","304","33597","BLACK PARIS","Julien,Eileen","10","19","2.34","2.67","7.1","0","70","10","10","10","0","0","0","1","3","3","0","1","0","0","1","0","1","3","5","1","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","337","13451","SOUL REVUE ADV STU PRACT","Strong Jr,James Augustas","6","8","4","2.986","0","100","0","0","0","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","338","32840","AF AM DANCE CO ADV STDIES PRAC","Berry Jr,Stafford C","3","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","339","13453","AACE ADV STU AND PRACT","Wise,Raymond","2","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","355","4694","AFRICAN-AMERICAN HISTORY I","Williams,Jakobi","47","58","3.349","2.954","6","44.7","51.1","2.1","0","12","0","16","5","10","8","6","0","0","1","0","0","0","1","3","8","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","379","4695","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","38","43","3.445","2.806","5","42.1","57.9","0","0","5","1","4","11","14","8","0","0","0","0","0","0","0","0","1","3","1","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","387","12164","BLACK MIGRATION","Smith,Candis D","10","13","2.36","2.346","7.7","0","60","20","10","4","0","0","0","2","3","1","0","2","0","1","0","0","1","3","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","408","30044","RACE, GENDER AND CLASS","Smith,Candis D","30","31","3.023","2.987","13.3","30","50","13.3","6.7","1","0","3","6","7","5","3","2","2","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","427","11526","CROSS-CULTURAL COMMUNICATION","Calloway-Thomas,Carolyn","2","8","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","493","4696","SENIOR SEMINAR IN AAADS","McElroy,Frederick L.","4","4","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","556","10984","RACE&CULTURE-AFRICAN DIASPORA","Calloway-Thomas,Carolyn","7","11","4","3.927","25","100","0","0","0","4","0","7","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","579","6666","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","2","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","669","4698","INDEP PROJ BLACK SOCIAL ISSUES","Calloway-Thomas,Carolyn","3","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","689","4700","INDEP. PROG. IN BLK LITERATURE","Calloway-Thomas,Carolyn","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","690","30047","CORE RDGS IN AFRO-AMER STUDIES","Calloway-Thomas,Carolyn","4","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","694","32497","THE ARTS IN AFRC AM&AFRC DIASP","Wolfskill,Phoebe","4","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","698","4701","FIELD STUDY SEMINAR","Calloway-Thomas,Carolyn","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","703","32832","BLACK FEMINISMS","Hamilton Abegunde,Maria Eliza","14","16","3.643","3.738","21.4","64.3","35.7","0","0","2","0","9","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","799","8271","STUDY&RESEARCH ABROAD IN AAADS","Calloway-Thomas,Carolyn","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-A","899","8159","PHD DISSERTATION RESEARCH","Calloway-Thomas,Carolyn","0","5","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAAD","AAAD-G","901","8160","ADVANCED RESEARCH","Calloway-Thomas,Carolyn","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","500","11284","TOPICS IN ARTS ADMINISTRATION","Preston,Corinne Teresa","3","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","500","13924","TOPICS IN ARTS ADMINISTRATION","Pantaloni III,Nazareth","31","32","3.952","3.787","81.3","100","0","0","0","1","13","13","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","500","33417","TOPICS IN ARTS ADMINISTRATION","Lewis,Frank","5","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","500","34221","TOPICS IN ARTS ADMINISTRATION","Kuhar,Ursula Maria","6","8","3.95","3.854","100","100","0","0","0","2","3","2","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","500","34227","TOPICS IN ARTS ADMINISTRATION","Herzig,Monika Gm","5","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","502","10994","INTRO ARTS ADMIN & ORG BEHVIOR","Wilkerson,Michael Neil","40","40","3.903","3.897","87.5","100","0","0","0","0","0","27","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","511","4432","PERFORMING ARTS CENTER MGMT","Booher,Douglas D","28","29","3.929","3.916","96.4","92.9","7.1","0","0","1","13","11","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","515","12952","FINANCIAL MANAGEMENT FOR ARTS","Wilkerson,Michael Neil","26","26","3.823","3.811","84.6","84.6","15.4","0","0","0","0","17","5","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","525","6490","MUSEUM MANAGEMENT","Lewis,Frank","29","30","3.903","3.917","86.2","96.6","3.4","0","0","1","2","19","7","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","550","1002","PRACTICUM IN ARTS ADMIN","Wilkerson,Michael Neil","0","42","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","551","33408","CULTURAL PLANNING & URBAN DEV","Woronkowicz,Joanna","31","32","3.958","3.895","96.9","96.8","3.2","0","0","1","27","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","650","1003","SEMINAR IN ARTS ADMINISTRATION","Kuhar,Ursula Maria","30","30","3.893","3.815","80","93.3","6.7","0","0","0","9","14","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AADM","AADM-Y","750","1006","INTERNSHIP IN ARTS ADMIN","Redman,Miranda Darlene","3","3","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAST","AAST-A","101","7838","INTR TO ASIAN AMERICAN STUDIES","Kwong,Lisa","39","47","3.826","3.119","0","89.7","7.7","2.6","0","8","14","15","6","1","2","0","0","0","1","0","0","0","0","1","7","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAST","AAST-A","201","31339","ASIAN DIASPORA EXPERIENCE","Kwong,Lisa","39","46","3.874","3.314","0","89.7","10.3","0","0","7","8","21","6","3","1","0","0","0","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AAST","AAST-X","490","7992","IND RD&RSRCH-ASIAN AMR STUDIES","Wu,Ellen Dionne","0","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","ABEH","ABEH-A","200","33968","ANIMAL BEHAVIOR WORKSHOP","Smith,Adam Ray","20","23","3.72","3.116","95","75","25","0","0","3","4","9","2","1","3","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","ABEH","ABEH-A","350","33977","ANIMAL BEHAVIOR LABORATORY","Smith,Adam Ray","20","21","2.96","3.132","75","45","30","10","0","4","1","7","1","3","3","0","2","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","ABEH","ABEH-A","400","33972","ADV WORKSHOP IN ANIMAL BEHAVR","Smith,Adam Ray","16","16","3.838","3.258","87.5","87.5","12.5","0","0","0","7","5","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","ABEH","ABEH-X","473","4964","ANIMAL BEHAVIOR INTERNSHIP","Smith,Adam Ray","0","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AERO","AERO-A","101","1007","INTRO TO THE AIR FORCE TODAY","Schimp,Dustin Tyler","16","28","3.819","2.795","0","87.5","12.5","0","0","12","2","7","5","2","0","0","0","0","0","0","0","0","0","8","4","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AERO","AERO-A","201","1010","EVOLUTION USAF AIR & SPACE PWR","Callaway,Russell C.","9","15","3.478","3.363","0","55.6","33.3","11.1","0","6","1","2","2","2","1","0","1","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AERO","AERO-A","301","1013","AIR FORCE LEADERSHIP STUDIES","Schimp,Dustin Tyler","5","6","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AERO","AERO-A","401","1016","NATL SEC AFFRS/PREP ACTV DUTY","Heil,Matthew S.","7","7","3.3","3.251","0","42.9","57.1","0","0","0","0","1","2","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AFRI","AFRI-B","101","2797","ELEMENTARY BAMANA I","Sow,Amadou Beidy","16","17","3.944","2.83","0","100","0","0","0","1","0","13","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AFRI","AFRI-B","201","2798","INTERMEDIATE BAMANA I","Sow,Amadou Beidy","14","14","3.857","3.035","0","85.7","14.3","0","0","0","0","12","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AFRI","AFRI-B","301","2799","ADVANCED BAMANA I","Sow,Amadou Beidy","15","16","4","2.955","0","100","0","0","0","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AFRI","AFRI-B","501","7773","ELEMENTARY BAMANA I","Sow,Amadou Beidy","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AFRI","AFRI-K","101","4451","ELEMENTARY AKAN I","Adu-Amankwah,David","10","10","3.47","2.702","0","50","50","0","0","0","1","1","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AFRI","AFRI-K","201","12441","INTERMEDIATE AKAN I","Adu-Amankwah,David","1","2","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","1","Regular Academic Session","AFRI","AFRI-K","601","12442","INTERMEDIATE AKAN I","Adu-Amankwah,David","1","1","NR","NR","NR","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-19-2018",
"Fall 2017","4178","8W1","Eight Week - First","AFRI","AFRI-L","100","8329","TOPICS IN AFRI SOCIETY&CULTURE","Sow,Amadou Beidy","35","41","3.666","2.919","0","65.7","34.3","0","0","6","0","13","10","11","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","01-19-2018",
