"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","100","6849","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","7","11","4","2.847","0","100","0","0","0","4","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","110","6850","AFRICAN AMERCN CHORAL ENSEMBLE","Wise,Raymond","13","22","3.692","2.973","15.8","76.9","15.4","7.7","0","9","0","8","2","2","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","6","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","120","6851","SOUL REVUE","Cooper,Tyron","21","22","4","2.69","0","100","0","0","0","1","20","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","132","34956","RECENT AAAD LITERATURE","Khan-Thomas,Zeba Yvonne","23","27","3.313","2.76","0","43.5","52.2","4.3","0","4","0","5","5","2","6","4","1","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","150","6852","SURV CULTR OF BLACK AMERICANS","McElroy,Frederick L.","126","148","3.111","3","1.4","44.4","37.3","10.3","5.6","25","12","25","19","13","20","14","2","4","7","5","2","0","3","12","10","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","154","13556","HISTORY OF RACE IN AMERICAS","Jones,Caralee Georgianna","42","52","3.188","3.088","0","40.5","45.2","11.9","2.4","10","3","5","9","6","11","2","1","1","3","0","1","0","0","4","6","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","169","30314","INTRO TO AFRICAN AMERICAN LIT","Louis,Diana Martha","27","36","3.1","2.714","3.3","55.6","29.6","0","0","13","6","6","3","2","6","0","0","0","0","0","0","0","4","3","6","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","210","30315","BLACK WOMEN IN THE DIASPORA","Smith,Candis D","27","28","2.889","2.774","3.7","29.6","48.1","18.5","0","2","0","4","4","2","6","5","0","2","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","8W2","Eight Week - Second","AAAD","AAAD-A","221","8994","DANCE IN THE AFRICAN DIASPORA","Rosa,Iris","24","32","3.513","3.012","0","62.5","25","12.5","0","8","7","5","3","3","3","0","2","0","1","0","0","0","0","2","6","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","263","30318","CONTEMP SOC ISS-AFR AMER COMM","Hamilton Abegunde,Maria Eliza","26","33","3.323","2.742","3.3","73.1","11.5","3.8","0","10","0","16","3","1","2","0","0","1","0","0","0","0","3","4","3","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","264","7859","HIST SPORT&AFRO-AMERICAN EXPER","Sailes,Gary A.","94","102","3.532","2.779","1","64.9","29.8","3.2","1.1","9","5","35","21","15","8","5","2","0","1","0","1","0","1","2","6","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","295","11757","SURVEY OF HIP HOP","Orejuela,Fernando","87","96","2.802","2.981","0","20.7","50.6","21.8","3.4","12","3","9","6","12","17","15","10","4","5","0","3","0","3","3","6","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","8W2","Eight Week - Second","AAAD","AAAD-A","298","36417","SPEC TPCS SOC&HIST FOR AAADS","Smith,Candis D","11","15","1.482","2.324","0","9.1","18.2","18.2","18.2","8","0","0","1","0","0","2","2","0","0","2","0","0","4","1","3","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","331","32983","VISUAL ARTS HARLEM RENAISSANCE","Wolfskill,Phoebe","19","24","2.979","2.819","10","47.4","21.1","26.3","5.3","5","0","1","8","1","1","2","2","2","1","0","1","0","0","1","4","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","355","6853","AFRICAN-AMERICAN HISTORY I","Smith,April Faye","35","48","3.551","2.778","2.5","60","34.3","5.7","0","13","13","5","3","5","5","2","1","1","0","0","0","0","0","5","8","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","359","30333","ETHNIC/RACIAL FILM STEREOTYPES","Wester,Maisha","23","32","2.026","2.776","11.1","17.4","30.4","17.4","17.4","13","0","2","2","1","2","4","0","2","2","0","3","1","4","4","5","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","379","6854","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","36","44","3.547","2.774","7.5","63.9","36.1","0","0","8","0","5","18","7","6","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","8W2","Eight Week - Second","AAAD","AAAD-A","387","36418","BLACK MIGRATION","Smith,Candis D","18","31","2.433","2.624","19","22.2","27.8","33.3","11.1","14","0","3","1","1","1","3","0","5","1","0","2","0","1","3","10","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","399","33541","ADV TPCS ARTS&HUMANITIES AAADS","Wolfskill,Phoebe","6","6","2.6","2.807","16.7","16.7","50","16.7","0","1","0","1","0","2","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","427","32984","CROSS-CULTURAL COMMUNICATION","Calloway-Thomas,Carolyn","12","18","3.35","3.023","0","58.3","33.3","8.3","0","6","0","3","4","1","1","2","0","0","1","0","0","0","0","2","4","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","480","13555","THE BLACK NOVEL","Wester,Maisha","7","8","2.3","2.711","14.3","42.9","14.3","0","28.6","2","0","2","1","0","0","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","493","6855","SENIOR SEMINAR IN AAADS","McElroy,Frederick L.","7","8","3.671","2.833","75","71.4","28.6","0","0","1","0","2","3","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","500","13306","INTR AFRC AM&AFRC DIASP PART I","Grim,Valerie","9","11","3.856","3.317","63.6","88.9","11.1","0","0","2","0","6","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","556","30360","RACE&CULTURE-AFRICAN DIASPORA","Calloway-Thomas,Carolyn","9","9","3.744","3.729","77.8","77.8","22.2","0","0","0","0","5","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","579","9217","EARLY BLACK AMERICAN WRITING","McElroy,Frederick L.","7","7","3.957","3.977","0","100","0","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAAD","AAAD-A","605","30369","RACE AND GLOBAL CITY, PART I","Grim,Valerie","9","11","3.744","3.719","90.9","77.8","22.2","0","0","2","0","4","3","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AADM","AADM-Y","500","31180","TOPICS IN ARTS ADMINISTRATION","Preston,Corinne Teresa","7","7","3.771","3.705","85.7","85.7","14.3","0","0","0","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AADM","AADM-Y","500","33505","TOPICS IN ARTS ADMINISTRATION","Woronkowicz,Joanna","17","19","3.871","3.843","82.4","94.1","5.9","0","0","2","2","11","3","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AADM","AADM-Y","502","30387","INTRO ARTS ADMIN & ORG BEHVIOR","Wilkerson,Michael Neil","36","40","3.942","3.851","73","100","0","0","0","4","2","27","7","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AADM","AADM-Y","511","6531","PERFORMING ARTS CENTER MGMT","Booher,Douglas D","29","30","3.966","3.792","86.2","96.6","3.4","0","0","1","0","27","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AADM","AADM-Y","525","8988","MUSEUM MANAGEMENT","Lewis,Frank","27","27","3.73","3.812","96.3","74.1","25.9","0","0","0","0","12","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AADM","AADM-Y","530","30395","AUDIENCE DEV & MRKTG THE ARTS","Wilkerson,Michael Neil","40","42","3.94","3.781","70.7","100","0","0","0","2","2","30","8","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AADM","AADM-Y","535","12365","ARTS ADMIN & CULTURAL SECTOR","Owens,Joshua Devin","26","26","3.65","3.784","96.2","73.1","26.9","0","0","0","0","6","13","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AADM","AADM-Y","650","2367","SEMINAR IN ARTS ADMINISTRATION","Nicholson-Crotty,Jill","29","29","3.655","3.742","89.7","65.5","34.5","0","0","0","0","19","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAST","AAST-A","101","10811","INTR TO ASIAN AMERICAN STUDIES","Lee,Jennifer Catherine","16","23","2.938","3.006","0","43.8","12.5","37.5","6.3","7","2","4","1","1","1","0","0","5","1","1","0","0","0","1","6","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AAST","AAST-A","201","33870","ASIAN DIASPORA EXPERIENCE","Kwong,Lisa","28","47","3.818","3.339","0","89.3","10.7","0","0","19","0","16","9","2","1","0","0","0","0","0","0","0","0","1","18","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AERO","AERO-A","101","2371","INTRO TO THE AIR FORCE TODAY","Hoadley,Michael A.","21","24","3.857","3.05","0","85.7","14.3","0","0","3","11","4","3","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AERO","AERO-A","201","2374","EVOLUTION USAF AIR & SPACE PWR","Frierson,Roy","16","17","3.675","3.173","0","75","25","0","0","1","3","6","3","1","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AERO","AERO-A","301","2377","AIR FORCE LEADERSHIP STUDIES","Frierson,Roy","13","13","3.931","3.449","0","100","0","0","0","0","2","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AERO","AERO-A","401","2380","NATL SEC AFFRS/PREP ACTV DUTY","Hoadley,Michael A.","6","6","3.617","3.396","0","66.7","33.3","0","0","0","0","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","8W1","Eight Week - First","AFRI","AFRI-L","100","11466","TOPICS IN AFRI SOCIETY&CULTURE","Sow,Amadou Beidy","58","68","3.757","2.975","0","79.3","20.7","0","0","10","0","27","19","12","0","0","0","0","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","1","Regular Academic Session","AFRI","AFRI-L","100","34933","TOPICS IN AFRI SOCIETY&CULTURE","Dlamini,Betty Sibongile","58","84","3.888","2.994","0","91.4","8.6","0","0","26","14","31","8","3","2","0","0","0","0","0","0","0","0","2","24","0","0","0","0","0","0","0","0","01-22-2016",
"Fall 2015","4158","8W1","Eight Week - First","AFRI","AFRI-L","202","12320","OCCULTISM IN AFRICA","Adu-Amankwah,David","49","72","3.09","2.884","0","38.8","36.7","22.4","0","24","0","15","4","4","7","7","5","6","0","0","0","0","1","7","16","0","0","0","0","0","0","0","0","01-22-2016",
