DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
AMID,365,"ARCH, INT & FURN DSGN STUDIES","Smith,Kennon Michelle",17,17,3.671,3.331,70.6,29.4,0,0,0
AMID,373,INTERIOR DESIGN STUDIO 4,"Newman,Marleen",17,17,3.412,3.331,41.2,58.8,0,0,0
AMID,394,ADV DIGITAL ARCHITECTRL DRAWNG,"Racek,Jonathan",23,28,3.252,3.24,47.8,39.1,8.7,4.3,2
AMID,469,PROF PRACTICES-INTERIOR DESIGN,"Joyner,Louis D.",21,21,3.262,3.26,52.4,28.6,19,0,0
AMID,475,INTERIOR DESIGN STUDIO 6,"Racek,Jonathan",14,14,3.557,3.276,71.4,21.4,7.1,0,0
AMID,475,INTERIOR DESIGN STUDIO 6,"Kim,Jee Yea",7,8,3.686,3.237,85.7,14.3,0,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Keogh,Molly Dove",17,21,3.053,3.069,29.4,58.8,11.8,0,1
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Matranga,Mary Jane",16,18,3.425,3.306,56.3,37.5,6.3,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Matranga,Mary Jane",10,15,3.41,2.991,50,50,0,0,1
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Keogh,Molly Dove",22,22,2.841,3.12,22.7,50,22.7,4.5,0
AMID,203,INTRODUCTORY TEXTILE SCIENCE,"Matranga,Mary Jane",71,80,3.725,3.136,78.9,21.1,0,0,1
AMID,207,FASHION STUDIO I,"Frye,Lori E",14,15,3.05,3.028,28.6,57.1,7.1,7.1,0
AMID,207,FASHION STUDIO I,"Christiansen,Deborah Lynn",12,15,2.592,2.75,16.7,33.3,50,0,2
AMID,213,FASHN DSGN I:RSCH & ILLUSTRATN,"Matranga,Mary Jane",12,12,3.867,3.085,91.7,8.3,0,0,0
AMID,213,FASHN DSGN I:RSCH & ILLUSTRATN,"Matranga,Mary Jane",14,16,2.964,2.878,50,28.6,7.1,7.1,1
AMID,301,DRESS STUDIES:TPCS CLTRL ANLYS,"Embry,Mary Christine",31,42,3.239,3.148,38.7,48.4,12.9,0,3
AMID,305,FASHION STUDIO III,"Christiansen,Deborah Lynn",19,19,2.847,3.141,26.3,42.1,26.3,5.3,0
AMID,328,EXPER FASHN STUDIO:DIGITL APPL,"Orr,David A",9,11,3.244,3.125,77.8,11.1,0,0,1
AMID,340,HISTORY OF FASHION,"Rowold,Kathleen",30,36,3.453,3.028,60,26.7,10,3.3,3
AMID,402,CLLCTN MGMT-HIST TEXTLS&COSTMS,"Richardson,Kelly Gallett",9,11,3.522,3.169,66.7,22.2,11.1,0,0
AMID,411,DRESS STUDIES: BEHAVIORAL ANLS,"Lennon,Sharron J.",26,29,2.469,3.009,3.8,46.2,50,0,1
AMID,100,INTR RETAIL DSGN & MERCHANDSNG,"Christiansen,Deborah Lynn",113,128,3.119,3.156,43.4,36.3,15,3.5,6
AMID,100,INTR RETAIL DSGN & MERCHANDSNG,"Shaffer,Janis Lynn",108,135,2.78,2.93,22.2,50,19.4,1.9,9
AMID,204,APPAREL MFG & QUALITY ANALYSIS,"Bomberger,David Rick",46,49,3.32,3.084,43.5,47.8,6.5,2.2,0
AMID,204,APPAREL MFG & QUALITY ANALYSIS,"Bomberger,David Rick",43,48,3.272,3.029,41.9,44.2,14,0,1
AMID,308,BRAND MANAGEMENT & ADVERTISING,"Hasty,Ashley",29,37,3.883,3.178,96.6,3.4,0,0,0
AMID,308,BRAND MANAGEMENT & ADVERTISING,"Hasty,Ashley",30,39,3.98,3.272,100,0,0,0,0
AMID,309,STRATEGIES IN RETAIL PROMOTION,"Hasty,Ashley",25,29,3.868,3.22,88,12,0,0,0
AMID,315,PRINCIPLES-RETAIL MERCHANDISNG,"Shaffer,Janis Lynn",47,56,3.134,3.127,36.2,46.8,17,0,2
AMID,315,PRINCIPLES-RETAIL MERCHANDISNG,"Shaffer,Janis Lynn",33,37,2.921,2.997,30.3,39.4,24.2,6.1,1
AMID,321,PRACTICUM IN RETAIL INDUSTRY,"Christiansen,Deborah Lynn",19,19,3.984,3.433,100,0,0,0,0
AMID,327,PRODUCT DEVELOPMENT,"Zhao,Li",26,31,3.612,3.239,69.2,30.8,0,0,0
AMID,328,DIGITAL PRODUCT DEVELOPMENT,"Paul,Eloise Kim",18,21,3.544,3.069,77.8,16.7,0,0,3
AMID,350,OMNICHANNEL APPAREL MERCHANDIS,"Kim,Minjeong",34,40,3.715,3.06,76.5,17.6,5.9,0,1
AMID,404,INTERNATL TEXTILES & APP TRADE,"Reiter,Lauren E",28,30,3.157,3.039,32.1,53.6,14.3,0,0
AMID,404,INTERNATL TEXTILES & APP TRADE,"Embry,Mary Christine",44,49,3.086,3.088,38.6,40.9,15.9,2.3,0
AMID,410,APPAREL ENTREPRENEURSHIP,"Bomberger,David Rick",18,22,3.894,2.91,94.4,5.6,0,0,1
AMID,412,GLOBAL SOURCING,"Zhao,Li",21,25,3.395,2.933,61.9,19,14.3,4.8,0
AMID,413,PLANNING AND ANALYSIS,"Paul,Eloise Kim",30,34,2.623,3.037,13.3,40,43.3,3.3,0
AMID,413,PLANNING AND ANALYSIS,"Paul,Eloise Kim",29,33,3.038,3.133,37.9,31,31,0,1
AMID,416,SUSTAINABILITY IN PRODUCT,"Embry,Mary Christine",20,23,3.43,3.138,70,25,0,0,0
AMID,492,TOPICS IN APPAREL MERCHANDISNG,"Zhao,Li",24,28,3.475,2.782,50,50,0,0,1
AMID,492,TOPICS IN APPAREL MERCHANDISNG,"Hasty,Ashley",10,10,4,3.425,100,0,0,0,0
AMID,492,TOPICS IN APPAREL MERCHANDISNG,"Lennon,Sharron J.",14,15,3.336,3.214,57.1,21.4,21.4,0,0
AMST,100,WHAT IS AMERICA?,"Halloran,Vivian",215,271,3.421,3.048,59.1,32.6,4.7,1.4,19
AMST,100,WHAT IS AMERICA?,"Seigel,Micol",237,251,3.535,3.091,72.6,15.6,7.6,1.7,2
AMST,200,COMPARATIVE AMER IDENTITIES,"Inouye,Karen M",55,61,3.24,3.244,43.6,47.3,7.3,1.8,3
AMST,200,COMPARATIVE AMER IDENTITIES,,39,43,3.467,3.093,61.5,30.8,5.1,2.6,1
AMST,201,U.S. MOVEMENTS & INSTITUTIONS,"Garcia,Myrna",6,8,2.667,2.482,33.3,33.3,16.7,0,0
AMST,201,U.S. MOVEMENTS & INSTITUTIONS,"Bodnar,John Edward",8,9,3.763,3.009,87.5,12.5,0,0,0
AMST,202,U.S. ARTS AND MEDIA,"Anderson,Paul Allen",41,50,2.773,2.795,19.5,56.1,17.1,4.9,4
AMST,275,INDIGENOUS WRLDVWS IN AMERICAS,,6,8,3.15,2.867,33.3,33.3,33.3,0,1
AMST,350,TOPICS: INTERDISCIPLINARY AMST,"Frazier,Lessie Jo",7,12,3.343,3.077,57.1,28.6,14.3,0,1
AMST,351,AMST IN TRANSNATIONAL CONTEXTS,"Halloran,Vivian",17,27,2.994,2.757,23.5,58.8,11.8,0,2
AMST,399,ADVANCED TOPICS S&H FOR AMST,"McGerr,Michael Edward",6,7,3.05,2.789,33.3,50,0,16.7,0
AMST,399,ADVANCED TOPICS S&H FOR AMST,"McGerr,Michael Edward",8,11,3.2,2.89,50,25,12.5,12.5,0
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",33,42,3.03,3.323,39.4,36.4,18.2,0,3
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",33,38,3.009,3.376,42.4,36.4,15.2,0,3
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",32,39,2.603,3.166,12.5,46.9,31.3,6.3,4
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",30,39,2.507,3.062,33.3,23.3,16.7,20,6
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",32,40,2.338,3.021,25,21.9,34.4,3.1,3
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",34,39,2.538,3.207,38.2,20.6,17.6,2.9,0
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",33,37,2.558,3.111,36.4,15.2,30.3,15.2,3
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",35,38,2.797,3.253,31.4,34.3,20,8.6,1
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",36,36,2.889,3.231,38.9,25,27.8,2.8,0
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",35,39,2.383,3.098,17.1,34.3,25.7,17.1,0
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",29,38,2.359,3.1,20.7,27.6,27.6,17.2,7
ANAT,215,BASIC HUMAN ANATOMY,"O'Loughlin,Valerie D",28,38,2.189,3.077,21.4,17.9,35.7,7.1,6
ANAT,850,TOPICAL SEMINAR IN ANATOMY,"O'Loughlin,Valerie D",7,7,4,3.661,100,0,0,0,0
ANTH,107,BECOMING HUMAN: EVOLUTION,"Sept,Jeanne M",162,189,3.071,3.068,31.5,53.1,11.1,2.5,9
ANTH,122,INTERPERSONAL COMMUNICATION,"Bush,Leigh Elizabeth",18,21,3.228,3.125,50,38.9,5.6,0,1
ANTH,122,INTERPERSONAL COMMUNICATION,"Lynton,Jordan Yejide",23,26,3.048,3.033,30.4,56.5,8.7,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Luketa,Valentina",14,17,3.364,3.08,42.9,57.1,0,0,0
ANTH,122,INTERPERSONAL COMMUNICATION,"Luketa,Valentina",23,27,3.235,2.87,43.5,47.8,4.3,0,0
