DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
AAAD,100,AF AM DANCE COMPNY FOUNDATIONS,"Berry Jr,Stafford C",12,13,4,2.953,100,0,0,0,0
AAAD,110,AF AM CHORAL ENSEMBL FOUNDATNS,"Wise,Raymond",24,29,3.567,3.177,79.2,8.3,12.5,0,1
AAAD,113,ATKINS LLC FOUNDATIONAL COURSE,"Khan-Thomas,Zeba Yvonne",36,37,3.756,2.823,88.9,8.3,0,0,1
AAAD,120,SOUL REVUE FOUNDATIONS,"Strong Jr,James Augustas",14,16,4,3.423,100,0,0,0,0
AAAD,150,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",131,140,3.233,2.904,50.4,34.4,9.2,1.5,4
AAAD,154,HISTORY OF RACE IN AMERICAS,"Sterling,Andrea Marie",28,35,3.468,3.054,60.7,32.1,3.6,3.6,1
AAAD,210,BLACK WOMEN IN THE DIASPORA,"Smith,Candis D",29,37,3.041,3.053,37.9,37.9,20.7,3.4,4
AAAD,251,PHOTOGRPHY & AFRICAN DIASPORA,"Wolfskill,Phoebe",20,24,2.925,3.117,25,50,10,15,0
AAAD,264,HIST SPORT&AFRO-AMERICAN EXPER,"Sailes,Gary A.",74,84,2.966,2.634,32.4,48.6,12.2,2.7,3
AAAD,290,SOCIOCLTRL PERSP-AFR AMER MUS,"Cooper,Tyron",34,37,3.421,3.057,70.6,20.6,2.9,0,1
AAAD,295,SURVEY OF HIP HOP,"Orejuela,Fernando",84,102,3.006,2.971,35.7,36.9,19,7.1,6
AAAD,297,POPULAR MUSIC OF BLACK AMERICA,"Cooper,Tyron",36,45,3.364,3.043,52.8,38.9,5.6,0,4
AAAD,337,SOUL REVUE ADV STU PRACT,"Strong Jr,James Augustas",6,8,4,2.986,100,0,0,0,0
AAAD,355,AFRICAN-AMERICAN HISTORY I,"Williams,Jakobi",47,58,3.349,2.954,44.7,51.1,2.1,0,3
AAAD,379,EARLY BLACK AMERICAN WRITING,"McElroy,Frederick L.",38,43,3.445,2.806,42.1,57.9,0,0,1
AAAD,387,BLACK MIGRATION,"Smith,Candis D",10,13,2.36,2.346,0,60,20,10,3
AAAD,408,"RACE, GENDER AND CLASS","Smith,Candis D",30,31,3.023,2.987,30,50,13.3,6.7,0
AAAD,556,RACE&CULTURE-AFRICAN DIASPORA,"Calloway-Thomas,Carolyn",7,11,4,3.927,100,0,0,0,0
AAAD,703,BLACK FEMINISMS,"Hamilton Abegunde,Maria Eliza",14,16,3.643,3.738,64.3,35.7,0,0,0
AADM,500,TOPICS IN ARTS ADMINISTRATION,"Pantaloni III,Nazareth",31,32,3.952,3.787,100,0,0,0,1
AADM,500,TOPICS IN ARTS ADMINISTRATION,"Kuhar,Ursula Maria",6,8,3.95,3.854,100,0,0,0,0
AADM,502,INTRO ARTS ADMIN & ORG BEHVIOR,"Wilkerson,Michael Neil",40,40,3.903,3.897,100,0,0,0,0
AADM,511,PERFORMING ARTS CENTER MGMT,"Booher,Douglas D",28,29,3.929,3.916,92.9,7.1,0,0,0
AADM,515,FINANCIAL MANAGEMENT FOR ARTS,"Wilkerson,Michael Neil",26,26,3.823,3.811,84.6,15.4,0,0,0
AADM,525,MUSEUM MANAGEMENT,"Lewis,Frank",29,30,3.903,3.917,96.6,3.4,0,0,0
AADM,551,CULTURAL PLANNING & URBAN DEV,"Woronkowicz,Joanna",31,32,3.958,3.895,96.8,3.2,0,0,0
AADM,650,SEMINAR IN ARTS ADMINISTRATION,"Kuhar,Ursula Maria",30,30,3.893,3.815,93.3,6.7,0,0,0
AAST,101,INTR TO ASIAN AMERICAN STUDIES,"Kwong,Lisa",39,47,3.826,3.119,89.7,7.7,2.6,0,1
AAST,201,ASIAN DIASPORA EXPERIENCE,"Kwong,Lisa",39,46,3.874,3.314,89.7,10.3,0,0,2
ABEH,200,ANIMAL BEHAVIOR WORKSHOP,"Smith,Adam Ray",20,23,3.72,3.116,75,25,0,0,0
ABEH,350,ANIMAL BEHAVIOR LABORATORY,"Smith,Adam Ray",20,21,2.96,3.132,45,30,10,0,0
ABEH,400,ADV WORKSHOP IN ANIMAL BEHAVR,"Smith,Adam Ray",16,16,3.838,3.258,87.5,12.5,0,0,0
AERO,101,INTRO TO THE AIR FORCE TODAY,"Schimp,Dustin Tyler",16,28,3.819,2.795,87.5,12.5,0,0,8
AERO,201,EVOLUTION USAF AIR & SPACE PWR,"Callaway,Russell C.",9,15,3.478,3.363,55.6,33.3,11.1,0,2
AERO,401,NATL SEC AFFRS/PREP ACTV DUTY,"Heil,Matthew S.",7,7,3.3,3.251,42.9,57.1,0,0,0
AFRI,101,ELEMENTARY BAMANA I,"Sow,Amadou Beidy",16,17,3.944,2.83,100,0,0,0,1
AFRI,201,INTERMEDIATE BAMANA I,"Sow,Amadou Beidy",14,14,3.857,3.035,85.7,14.3,0,0,0
AFRI,301,ADVANCED BAMANA I,"Sow,Amadou Beidy",15,16,4,2.955,100,0,0,0,0
