DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W,WX,I,R
CSCI,555,MACHINE LEARNING,"Williamson,Donald S.",46,77,3.274,3.571,45.7,39.1,10.9,4.3,0,31,0,0
CSCI,565,DATA MINING,"Raphael,Christopher S.",89,132,2.866,3.448,20.2,53.9,22.5,0,6,37,0,0
CSCI,609,TPCS ALGORITHMS & COMP THEORY,"Sahinalp,Cenk",10,10,3.94,3.65,100,0,0,0,0,0,0,0
CSCI,629,TPCS IN PROGRAMMING LANGUAGES,"Friedman,Daniel P",6,10,3.95,3.656,100,0,0,0,1,3,0,0
CSCI,649,TOPICS IN SYSTEMS,"Camp,L Jean",10,14,4,3.508,100,0,0,0,0,4,0,0
CSCI,649,TOPICS IN SYSTEMS,"Qian,Feng",23,41,3.948,3.687,100,0,0,0,1,17,0,0
CSCI,649,TOPICS IN SYSTEMS,"Qiu,Judy",38,60,3.271,3.49,50,34.2,10.5,2.6,3,19,0,0
CSCI,649,TOPICS IN SYSTEMS,"Qiu,Judy",99,162,3.632,3.499,70.7,28.3,0,1,3,60,0,0
CSCI,649,TOPICS IN SYSTEMS,"Pierce,Marlon",11,13,3.591,3.711,45.5,54.5,0,0,0,1,0,0
CSCI,657,COMPUTER VISION,"Crandall,David",47,74,3.73,3.683,78.7,21.3,0,0,1,24,1,0
CSCI,659,TOPICS ARTIFICIAL INTELLIGENCE,"Ye,Yuzhen",6,12,3.833,3.574,83.3,16.7,0,0,0,6,0,0
CSCI,659,TOPICS ARTIFICIAL INTELLIGENCE,"Cavar,Damir",14,37,3.929,3.599,92.9,7.1,0,0,1,21,0,0
CSCI,659,TOPICS ARTIFICIAL INTELLIGENCE,"White,Adam Murray",20,42,3.455,3.667,65,20,15,0,2,18,1,0
CSCI,673,ADVANCED SCIENTIFIC COMPUTING,"Bramley,Randall Barry",8,8,4,3.76,100,0,0,0,0,0,0,0
CSCI,200,INTRO COMPUTERS & PROGRAMMING,"Dalkilic,Mehmet M.",33,46,3.294,2.797,48.5,45.5,0,0,9,4,0,0
CSCI,211,INTRO TO COMPUTER SCIENCE,"Somogyi,Andy T",52,79,2.335,2.996,15.4,34.6,30.8,7.7,19,8,0,0
CSCI,211,INTRO TO COMPUTER SCIENCE,"Somogyi,Andy T",59,104,2.034,2.857,18.6,18.6,28.8,15.3,31,14,0,0
CSCI,212,INTRO TO SOFTWARE SYSTEMS,"Bhutta,Adeel A",70,82,3.01,3.15,42.9,37.1,7.1,8.6,7,5,0,0
CSCI,212,INTRO TO SOFTWARE SYSTEMS,"Bhutta,Adeel A",61,78,2.866,2.957,37.7,34.4,13.1,8.2,14,3,0,0
CSCI,241,DISCRETE STRUCTURES FOR CSCI,"Novak,Ladislav",79,85,3.1,3.145,40.5,39.2,17.7,1.3,1,5,0,0
CSCI,241,DISCRETE STRUCTURES FOR CSCI,"Novak,Ladislav",75,86,2.807,3.073,30.7,38.7,21.3,1.3,3,8,0,0
CSCI,290,TOPICS IN COMPUTER SCIENCE,"Blanco Rodriguez,Saul Antonio",18,23,3.256,3.044,50,22.2,27.8,0,2,3,0,0
CSCI,311,PROGRAMMING LANGUAGES,"Friedman,Daniel P",23,33,2.965,3.1,56.5,17.4,13,0,4,5,1,0
CSCI,322,OBJECT-ORIENTED SOFTWARE MTHDS,"German,Dan-Adrian",34,38,3.476,3.172,67.6,20.6,8.8,2.9,0,3,1,0
CSCI,335,COMPUTER STRUCTURES,"Malbasa,Vel",23,27,3.052,3.135,13,87,0,0,2,2,0,0
CSCI,335,COMPUTER STRUCTURES,"Malbasa,Vel",34,44,1.991,3.058,17.6,17.6,35.3,14.7,6,4,0,0
CSCI,343,DATA STRUCTURES,"Menzel,Suzanne",44,67,2.864,3.074,36.4,29.5,20.5,11.4,17,6,0,0
CSCI,343,DATA STRUCTURES,"Menzel,Suzanne",55,75,2.645,3.04,27.3,40,14.5,9.1,18,2,0,0
CSCI,212,INTRO TO SFTWR SYSTEMS-HONORS,"German,Dan-Adrian",29,29,3.9,3.657,93.1,6.9,0,0,0,0,0,0
CSCI,241,ELEM DISCRETE STRUCTURES:HON,"Novak,Ladislav",19,20,3.674,3.741,73.7,26.3,0,0,0,0,1,0
CSCI,335,COMPUTER STRUCTURES HONORS,"Brown,Geoffrey Morris",8,8,3.125,3.519,62.5,12.5,12.5,0,0,0,0,0
CSCI,343,"DATA STRUCTURES, HONORS","Hmeljak,Mitja",11,12,3.336,3.543,63.6,27.3,0,0,1,0,0,0
CSCI,442,DIGITAL SYSTEMS,"Himebaugh,Bryce D",19,20,3.653,3.356,73.7,21.1,5.3,0,0,1,0,0
CSCI,535,PERVASIVE COMPUTING,"Connelly,Katherine Hane",10,24,4,3.685,100,0,0,0,2,12,0,0
CSCI,536,ADVANCED OPERATING SYSTEMS,"Himebaugh,Bryce D",48,58,3.494,3.556,52.1,45.8,2.1,0,0,10,0,0
CSCI,565,SOFTWARE ENGINEERING I,"Bhutta,Adeel A",24,33,3.55,3.434,62.5,37.5,0,0,0,9,0,0
CSCI,632,OBJECT-ORIENTED SOFTARE MGMT,"Rawlins,Gregory J.e.",23,25,3.6,3.574,65.2,34.8,0,0,0,2,0,0
CSCI,390,UNDERGRADUATE INDPT STUDY,"Ye,Yuzhen",46,55,3.752,3.191,82.6,15.2,2.2,0,4,1,4,0
CSCI,790,GRADUATE INDEPENDENT STUDY,"Natarajan,Sriraam",7,7,4,3.843,100,0,0,0,0,0,0,0
CSCI,790,GRADUATE INDEPENDENT STUDY,"Wang,Xiaofeng",6,6,4,3.782,100,0,0,0,0,0,0,0
CSCI,790,GRADUATE INDEPENDENT STUDY,"Crandall,David",9,11,3.889,3.758,88.9,11.1,0,0,0,0,0,2
CSCI,790,GRADUATE INDEPENDENT STUDY,"Ergun,Funda",11,22,3.882,3.767,90.9,9.1,0,0,0,4,0,7
CSCI,798,PROFSNL PRACTICUM/INTERNSHP,"Siek,Jeremy",24,24,4,3.606,100,0,0,0,0,0,0,0
CSCI,799,COMPUTER SCIENCE COLLOQUIUM,"Ergun,Funda",11,14,4,3.54,100,0,0,0,0,3,0,0
CTIH,600,TOPICS IN CRITICAL THEORY,"Sheldon,Rebekah",6,6,4,3.933,100,0,0,0,0,0,0,0
EALC,102,ELEMENTARY CHINESE 2,"Liles,Xiaoying",46,53,3.354,3.234,54.3,34.8,8.7,2.2,3,4,0,0
EALC,102,ELEMENTARY CHINESE 2,"Liles,Xiaoying",43,47,3.305,3.148,39.5,53.5,7,0,2,2,0,0
EALC,202,2ND YEAR CHINESE 2,"Bao,Yingling",25,28,3.32,3.352,44,44,12,0,1,2,0,0
EALC,202,2ND YEAR CHINESE 2,"Bao,Yingling",29,33,3.4,3.363,55.2,31,10.3,3.4,1,3,0,0
EALC,302,THIRD YEAR CHINESE 2,"Bao,Yingling",39,41,3.492,3.412,56.4,41,2.6,0,1,1,0,0
EALC,110,POPULAR CULTURE IN EAST ASIA,"Xiao,Tie",80,102,3.243,2.989,50,31.3,12.5,2.5,5,17,0,0
EALC,201,ISS IN EAST ASIAN LITERATURE,"Hwang,Susan",11,13,3.764,3.124,90.9,0,9.1,0,0,2,0,0
EALC,270,JAPANESE LANGUAGE AND SOCIETY,"Tanaka,Nozomi",27,32,3.759,3.121,81.5,18.5,0,0,0,5,0,0
EALC,300,STDS IN EAST ASIAN LITERATURE,"Hwang,Susan",30,37,3.837,3.172,86.7,13.3,0,0,1,6,0,0
EALC,301,CHINESE LANGUAGE & CULTURE,"Lin,Chien-Jer Charles",32,41,3.644,3.104,62.5,37.5,0,0,0,9,0,0
EALC,305,KOREAN LANGUAGE AND CULTURE,"Lee,Hyo Sang",19,27,2.789,3.049,21.1,47.4,26.3,0,0,8,0,0
EALC,320,TASTING FOOD IN JAPANESE,"Tsujimura,Natsuko",27,38,3.656,3.198,66.7,33.3,0,0,3,8,0,0
EALC,322,MODERN JAPANESE LITERATURE,"Crandol,Michael Edward",17,24,2.841,3.044,35.3,35.3,17.6,0,4,3,0,0
EALC,330,STUDIES IN JAPANESE FILM,"Crandol,Michael Edward",35,39,3.091,3.128,25.7,54.3,20,0,1,3,0,0
EALC,333,STUDIES IN CHINESE CINEMA,"Xiao,Tie",22,26,3.073,2.876,45.5,22.7,27.3,0,2,2,0,0
EALC,351,STUDIES IN EAST ASIAN THOUGHT,"Vogt,Paul Nicholas",7,13,3.629,2.867,85.7,0,14.3,0,2,4,0,0
EALC,352,STUDIES IN EAST ASIAN HISTORY,"Oxenboell,Morten",12,20,3.533,3.165,66.7,25,8.3,0,1,7,0,0
EALC,386,UNITED STATES-EAST ASIAN RELTN,"Liff,Adam Phail",15,22,2.607,3.077,20,33.3,40,6.7,0,7,0,0
EALC,390,CONTEMPORARY CHINESE POLITICS,"Yasuda,John Kojiro",16,19,3.388,3.314,37.5,56.3,6.3,0,1,2,0,0
EALC,102,ELEMENTARY JAPANESE 2,"Matsubara,Misako",28,32,2.889,3.211,32.1,35.7,25,0,2,2,0,0
EALC,102,ELEMENTARY JAPANESE 2,"Matsubara,Misako",39,47,3.092,3.172,35.9,35.9,28.2,0,2,6,0,0
EALC,102,ELEMENTARY JAPANESE 2,"Tanaka,Nozomi",37,44,3.057,3.09,45.9,27,18.9,5.4,5,2,0,0
EALC,202,SECOND YEAR JAPANESE 2,"Akiyama,Yasuko",34,38,3.324,3.224,52.9,26.5,20.6,0,1,3,0,0
EALC,202,SECOND YEAR JAPANESE 2,"Akiyama,Yasuko",52,55,3.337,3.251,50,36.5,13.5,0,0,3,0,0
EALC,302,THIRD YEAR JAPANESE 2,"Akiyama,Yasuko",34,36,3.344,3.277,47.1,41.2,11.8,0,1,1,0,0
EALC,402,FOURTH-YEAR JAPANESE II,"Tsujimura,Natsuko",6,6,3.667,3.027,66.7,33.3,0,0,0,0,0,0
EALC,102,ELEMENTARY KOREAN 2,"Kim,Jiyoung",18,30,3.778,3.355,77.8,22.2,0,0,2,10,0,0
EALC,102,ELEMENTARY KOREAN 2,"Kim,Jiyoung",44,48,3.609,3.223,68.2,27.3,4.5,0,2,2,0,0
EALC,202,SECOND YEAR KOREAN 2,"Lee,Hyo Sang",15,15,3.4,3.207,46.7,46.7,6.7,0,0,0,0,0
EALC,302,THIRD YEAR KOREAN 2,"Kim,Jiyoung",11,13,3.155,3.129,45.5,36.4,9.1,9.1,1,1,0,0
ECON,201,INTRO TO MICROECONOMICS,"Sampaio Lima,Diogo Francisco",42,55,2.757,3.09,31,28.6,26.2,9.5,3,9,1,0
ECON,201,INTRO TO MICROECONOMICS,"Loxton,Abigail Marie",55,62,2.444,3.287,21.8,27.3,32.7,10.9,5,2,0,0
ECON,201,INTRO TO MICROECONOMICS,"Li,Muxin",46,63,2.626,3.133,6.5,67.4,17.4,2.2,4,13,0,0
ECON,201,INTRO TO MICROECONOMICS,"Vinson,Philip Andrew",15,24,2.72,2.878,33.3,20,40,6.7,5,4,0,0
ECON,201,INTRO TO MICROECONOMICS,"Cui,Berg",16,21,2.6,3.051,37.5,6.3,31.3,25,2,3,0,0
ECON,201,INTRO TO MICROECONOMICS,"Mendoza,Beverly Dominique Anne Marifosque",50,65,2.116,2.961,14,22,34,18,10,5,0,0
ECON,201,INTRO TO MICROECONOMICS,"Argudo,Esteban Patricio",50,67,2.45,3.117,32,26,14,14,10,7,0,0
ECON,201,INTRO TO MICROECONOMICS,"Glomm,Gerhard",59,67,2.607,2.977,6.8,59.3,28.8,0,3,5,0,0
ECON,201,INTRO TO MICROECONOMICS,"Mao,Ruoyun",42,57,2.445,3.02,26.2,28.6,21.4,11.9,7,7,0,0
ECON,201,INTRO TO MICROECONOMICS,"Olson,Peter",243,328,2.332,3.082,14.8,28.4,35.8,17.3,54,31,0,0
ECON,201,INTRO TO MICROECONOMICS,"Self,James K.",222,282,2.579,2.997,20.3,44.1,18,10.4,29,28,3,0
ECON,201,INTRO TO MICROECONOMICS,"Olson,Peter",260,330,2.585,3.296,21.2,39.6,23.8,10,44,26,0,0
ECON,201,INTRO TO MICROECONOMICS,"Daun,Tyler",18,22,2.456,3.14,27.8,38.9,5.6,16.7,3,1,0,0
ECON,202,INTRO TO MACROECONOMICS,"LIU,Simon",17,26,2.112,3.094,17.6,23.5,23.5,17.6,5,4,0,0
ECON,202,INTRO TO MACROECONOMICS,"Paz y Mino Lay,Jose Manuel Sebastian",50,68,2.038,2.971,8,28,32,28,8,10,0,0
ECON,202,INTRO TO MACROECONOMICS,"Graf,Paul",264,329,2.404,3.231,18.9,29.9,29.2,17.8,18,47,0,0
ECON,202,INTRO TO MACROECONOMICS,"Self,James K.",87,102,2.5,3.129,16.1,34.5,34.5,11.5,7,8,0,0
ECON,202,INTRO TO MACROECONOMICS,"Graf,Paul",257,313,2.473,3.237,19.8,33.9,28.8,13.2,15,40,1,0
ECON,203,INTRO TO INTERNATNL ECONOMICS,"Stone III,John Thomas",18,20,3.089,3.225,27.8,61.1,0,11.1,1,1,0,0
ECON,298,CAREERS IN ECONOMICS,"Glomm,Gerhard",10,13,4,3.031,100,0,0,0,2,1,0,0
ECON,303,SURVEY OF INTERNATIONAL ECON,"Lee,Ryan",21,26,2.552,2.814,33.3,14.3,42.9,4.8,4,1,0,0
ECON,305,MONEY AND BANKING,"Gong,Rui",56,68,3.263,3.056,42.9,42.9,12.5,1.8,3,9,0,0
ECON,308,SURVEY OF PUBLIC FINANCE,"DeDad,Michael James",22,28,2.777,3.01,22.7,50,18.2,4.5,0,6,0,0
ECON,321,INTERMEDIATE MICROECON THEORY,"Walker,James M.",73,91,2.605,2.988,19.2,35.6,35.6,8.2,11,7,0,0
ECON,321,INTERMEDIATE MICROECON THEORY,"Lopatin,Nikita",16,30,2.288,2.803,12.5,31.3,31.3,18.8,10,4,0,0
ECON,321,INTERMEDIATE MICROECON THEORY,"Raghav,Manu",27,47,2.389,3.037,22.2,37,14.8,14.8,13,7,0,0
ECON,322,INTERMEDIATE MACROECON THEORY,"Nelson,Jaeger Lawrence",31,39,2.297,2.889,16.1,35.5,22.6,19.4,4,4,0,0
ECON,322,INTERMEDIATE MACROECON THEORY,"Guler,Bulent",59,68,2.608,2.878,23.7,39,18.6,10.2,2,6,0,0
ECON,327,GAME THEORY,"Becker,Robert A.",41,53,2.929,3.057,29.3,46.3,22,2.4,2,10,0,0
ECON,331,INTERNATIONAL TRADE,"Lashkaripour,Ahmad",38,40,3.024,3,39.5,36.8,23.7,0,1,1,0,0
ECON,331,INTERNATIONAL TRADE,"Lashkaripour,Ahmad",29,31,2.941,2.902,48.3,13.8,34.5,0,1,1,0,0
ECON,332,INTL MONETARY ECONOMICS,"Hatchondo,Juan Carlos",25,27,2.972,3.135,28,56,8,0,1,1,0,0
ECON,337,ECONOMIC DEVELOPMENT,"Buffie,Edward Frederick",18,27,2.194,3.049,22.2,22.2,33.3,5.6,8,1,0,0
ECON,341,ECONOMICS OF LABOR MARKETS,"Olson,Peter",25,33,2.732,2.969,24,44,24,8,6,2,0,0
ECON,344,HEALTH ECONOMICS,"Raghav,Manu",26,44,2.427,2.993,11.5,46.2,23.1,15.4,7,11,0,0
ECON,362,PUBLIC FINANCE-TAXATION,"Self,James K.",42,48,2.705,3.002,21.4,47.6,19,9.5,1,5,0,0
ECON,364,ENVIR & RESOURCE ECONOMICS,"Lueck,Dean",25,32,2.236,2.945,16,32,32,8,3,4,0,0
ECON,370,STATISTICAL ANALYS BUS & ECON,"Camp,Mary Elizabeth",77,94,2.922,3.204,28.6,50.6,13,0,8,9,0,0
ECON,370,STATISTICAL ANALYS BUS & ECON,"Camp,Mary Elizabeth",47,65,2.874,3.237,27.7,44.7,19.1,6.4,3,15,0,0
ECON,370,STATISTICAL ANALYS BUS & ECON,"Camp,Mary Elizabeth",59,75,3.11,3.277,37.3,42.4,18.6,0,5,11,0,0
ECON,370,STATISTICAL ANALYS BUS & ECON,"Camp,Mary Elizabeth",50,68,2.81,3.101,24,54,12,2,5,13,0,0
ECON,371,INTRO TO APPLIED ECONOMETRICS,"Stone III,John Thomas",27,32,2.344,2.972,22.2,33.3,14.8,14.8,3,2,0,0
ECON,371,INTRO TO APPLIED ECONOMETRICS,"Stone III,John Thomas",18,20,2.411,3.071,22.2,27.8,27.8,16.7,1,1,0,0
ECON,385,THE ECONOMICS OF INDUSTRY,"Xiao,Ruli",17,19,2.924,3.09,17.6,64.7,11.8,5.9,1,1,0,0
ECON,385,THE ECONOMICS OF INDUSTRY,"Xiao,Ruli",23,30,2.665,2.835,13,47.8,30.4,8.7,2,5,0,0
ECON,390,UNDERGRAD SEMINAR IN ECONOMICS,"Alexeev,Michael V.",13,17,2.815,3.222,30.8,38.5,30.8,0,2,1,1,0
ECON,390,UNDERGRAD SEMINAR IN ECONOMICS,"Leeper,Eric Michael",12,20,3.95,3.571,100,0,0,0,1,6,1,0
ECON,390,UNDERGRAD SEMINAR IN ECONOMICS,"Melo,Emerson",12,15,4,3.306,100,0,0,0,1,1,0,0
ECON,390,UNDERGRAD SEMINAR IN ECONOMICS,"Xu,Keli",36,45,3.517,2.844,58.3,41.7,0,0,3,6,0,0
ECON,471,ECONOMETRIC THEORY & PRACT I,"Escanciano,Juan Carlos",10,10,3.07,3.446,50,30,10,0,0,0,0,0
ECON,472,ECONOMETRIC THEORY & PRACT II,"Xu,Keli",9,10,3.9,3.303,100,0,0,0,1,0,0,0
ECON,502,TCHNG UNDERGRADUATE ECONOMICS,"Graf,Paul",13,14,3.777,3.514,84.6,15.4,0,0,0,0,1,0
ECON,572,ECONOM 2-REGRS/TIME SERIES,"Chang,Yoosoon",13,15,3.492,3.514,61.5,30.8,7.7,0,0,1,1,0
ECON,585,INDUST ORGANIZATN & CONTROL,"Garcia,Filomena",10,10,3.94,3.751,100,0,0,0,0,0,0,0
ECON,621,THEORY OF PRICES AND MARKETS 2,"Puzzello,Daniela",15,16,3.587,3.55,73.3,20,6.7,0,0,0,1,0
ECON,622,MACROECONOMIC THEORY II,"Guler,Bulent",14,14,3.436,3.514,50,50,0,0,0,0,0,0
ECON,629,OPEN ECONOMY MACROECONOMICS,"Hatchondo,Juan Carlos",7,7,3.857,3.757,85.7,14.3,0,0,0,0,0,0
ECON,671,ECONOMET 3-NONLNEAR/SIMLT MDLS,"Escanciano,Juan Carlos",7,7,3.671,3.715,71.4,28.6,0,0,0,0,0,0
ECON,724,SEMINAR IN ECONOMIC THEORY,"Park,Joon",8,8,3.888,3.738,100,0,0,0,0,0,0,0
ECON,901,ADVANCED RESEARCH,"Glomm,Gerhard",7,20,4,3.784,100,0,0,0,0,0,0,13
ECON,201,INTRO TO MICROECONOMICS: HON,"Glomm,Gerhard",15,15,3.333,3.661,33.3,66.7,0,0,0,0,0,0
ECON,202,INTRO TO MACROECONOMICS: HON,"Buffie,Edward Frederick",14,15,3.264,3.666,50,35.7,7.1,7.1,0,1,0,0
ECON,322,INTERMED MACRO THEORY-HONORS,"Leeper,Eric Michael",13,15,3.954,3.701,100,0,0,0,1,1,0,0
EDUC,308,LEGAL&ETHICAL ISS FOR TEACHERS,"Eckes,Suzanne E.",107,115,3.379,3.29,52.3,43,2.8,1.9,2,6,0,0
EDUC,500,INTRO TO EDUCATIONAL LDRSHP,"Raimondi,Concetta Ann",20,22,3.605,3.318,85,5,5,0,1,0,1,0
EDUC,510,SCHOOL COMMUNITY RELATIONS,"Millacci,Ann",20,22,3.75,3.593,80,15,5,0,1,1,0,0
EDUC,515,EDUC LEADERSHP:TCHR DVLPT&EVAL,"Erwin,Barbara Jeanne",21,23,3.776,3.572,90.5,4.8,0,0,0,1,1,0
EDUC,608,LEGAL PERSPECTVS ON EDUCATION,"Decker,Janet R.",15,15,3.98,3.942,100,0,0,0,0,0,0,0
EDUC,608,LEGAL PERSPECTVS ON EDUCATION,"Decker,Janet R.",12,15,3.7,3.707,75,25,0,0,1,2,0,0
EDUC,615,ADVANCED SCHOOL LAW,"Richardson,Emily Noelle",13,13,3.777,3.779,92.3,0,7.7,0,0,0,0,0
EDUC,624,EDUC LEDRSP: PRINCIPALSHP K-12,"Raimondi,Concetta Ann",10,11,3.97,3.587,100,0,0,0,0,0,1,0
EDUC,630,ECONOMIC DIMEN OF EDUCATION,"Lochmiller,Chad Richard",15,16,3.953,3.857,93.3,6.7,0,0,0,0,1,0
EDUC,635,PUBL SCHOOL BUDGETING & ACCTG,"Bourke,Walter D",12,12,3.867,3.694,91.7,8.3,0,0,0,0,0,0
EDUC,675,LDRSHP IN SPECIAL EDUCATION,"Cole,Cassandra M.",9,9,3.967,3.914,100,0,0,0,0,0,0,0
EDUC,720,WKSP ON SEL PROB IN ED LDRSHIP,"Lochmiller,Chad Richard",17,17,3.965,3.907,100,0,0,0,0,0,0,0
EDUC,661,FOUNDATIONS OF INST RESEARCH,"Borden,Victor M.H.",10,11,3.87,3.835,90,10,0,0,0,0,0,0
EDUC,664,HIGHER EDUCATION ORG AND ADMIN,"Museus,Samuel David",10,10,4,3.907,100,0,0,0,0,0,0,0
EDUC,670,PROB IN FINANCING HIGHER EDUC,"Gonzalez,Gerardo M.",11,12,3.945,3.809,100,0,0,0,0,1,0,0
EDUC,675,SUPERVISED COLLEGE TEACHING,"Borden,Victor M.H.",7,7,4,3.943,100,0,0,0,0,0,0,0
EDUC,695,ACADEMIC PROB IN HIGHER EDUC,"LePeau,Lucy Anne",10,11,3.74,3.852,90,0,10,0,0,1,0,0
EDUC,750,TOPICAL SEMINAR,"White,Ronald Glenn",11,12,3.636,3.731,90.9,0,0,0,0,0,1,0
EDUC,750,TOPICAL SEMINAR,"Middendorf,Joan K",7,7,4,3.834,100,0,0,0,0,0,0,0
EDUC,795,DISSERTATION PROPOSAL PREP,"Nelson Laird,Thomas F",10,11,3.74,3.861,80,20,0,0,0,1,0,0
EDUC,500,INTRO TO ADULT EDUCATION THRY,"Di Silvestro,Frank Richard",16,21,3.85,3.85,81.3,18.8,0,0,0,3,2,0
EDUC,505,ADULT LRNING THRU THE LIFESPAN,"Treff,Marjorie E",15,16,3.98,3.833,100,0,0,0,0,0,1,0
EDUC,506,ADULT ED PLANNING & DEVELOPMNT,"Treff,Marjorie E",17,18,4,3.807,100,0,0,0,0,0,1,0
EDUC,525,INTRO TO DE SYSTEMS IN ADLT ED,"Treff,Marjorie E",18,19,3.906,3.751,94.4,0,5.6,0,0,0,1,0
EDUC,640,CAPSTONE SEMINAR IN ADULT EDUC,"Di Silvestro,Frank Richard",6,7,4,3.935,100,0,0,0,0,1,0,0
EDUC,300,ELEM EDUC FOR PLURALISTIC SOC,"Howell Beck,Crystal Dawn",24,25,3.629,3.307,83.3,8.3,4.2,0,0,1,0,0
EDUC,300,ELEM EDUC FOR PLURALISTIC SOC,"Weiss,Allie",24,26,3.771,3.513,83.3,16.7,0,0,0,2,0,0
EDUC,300,ELEM EDUC FOR PLURALISTIC SOC,"Engebretson,Kathryn Ellerhoff",13,16,3.623,3.365,76.9,15.4,7.7,0,0,3,0,0
EDUC,300,ELEM EDUC FOR PLURALISTIC SOC,"Weiss,Allie",12,13,3.367,3.262,75,8.3,8.3,0,1,0,0,0
EDUC,325,SOC STDS IN THE ELEM SCHOOLS,"Riddle,Molly Alyson",21,21,3.79,3.555,90.5,9.5,0,0,0,0,0,0
EDUC,325,SOC STDS IN THE ELEM SCHOOLS,"Engebretson,Kathryn Ellerhoff",15,16,3.313,3.226,40,53.3,6.7,0,0,1,0,0
EDUC,325,SOC STDS IN THE ELEM SCHOOLS,"Harris-Hasan,Alandra J",18,18,3.272,3.417,38.9,44.4,16.7,0,0,0,0,0
EDUC,325,SOC STDS IN THE ELEM SCHOOLS,"Reynolds,Tiehl G",14,14,3.257,3.532,50,35.7,7.1,0,0,0,0,0
EDUC,325,SOC STDS IN THE ELEM SCHOOLS,"Hollett,Alexandria Marie",21,21,3.529,3.728,71.4,28.6,0,0,0,0,0,0
EDUC,328,SCIENCE IN THE ELEMENTARY SCHL,"Roy,Ranu",18,18,3.767,3.497,88.9,5.6,5.6,0,0,0,0,0
EDUC,328,SCIENCE IN THE ELEMENTARY SCHL,"Park Rogers,Meredith",21,21,3.805,3.591,90.5,9.5,0,0,0,0,0,0
EDUC,328,SCIENCE IN THE ELEMENTARY SCHL,"Akerson,Valarie",21,21,3.957,3.462,100,0,0,0,0,0,0,0
EDUC,328,SCIENCE IN THE ELEMENTARY SCHL,"Gilles,Brent",21,21,3.662,3.366,85.7,4.8,9.5,0,0,0,0,0
EDUC,339,METHODS OF TEACH LANG ARTS,"Brundick McNabb,Melissa",14,14,3.693,3.532,85.7,7.1,0,7.1,0,0,0,0
EDUC,339,METHODS OF TEACH LANG ARTS,"Scott,Jill Allison",21,21,3.986,3.728,100,0,0,0,0,0,0,0
EDUC,339,METHODS OF TEACH LANG ARTS,"Deliman,Amanda Michele",21,21,3.881,3.555,95.2,4.8,0,0,0,0,0,0
EDUC,339,METHODS OF TEACH LANG ARTS,"Brundick McNabb,Melissa",14,14,3.857,3.389,85.7,14.3,0,0,0,0,0,0
EDUC,339,METHODS OF TEACH LANG ARTS,"Anderson,Kristin Lynn",14,14,3.857,3.321,85.7,14.3,0,0,0,0,0,0
EDUC,340,METHODS OF TEACHING READING I,"Wessel,Deborah Andres",14,14,4,3.452,100,0,0,0,0,0,0,0
EDUC,340,METHODS OF TEACHING READING I,"Wessel,Deborah Andres",14,14,3.929,3.389,92.9,7.1,0,0,0,0,0,0
EDUC,340,METHODS OF TEACHING READING I,"Hogue,Breanya C.",14,15,3.5,3.288,57.1,35.7,7.1,0,0,1,0,0
EDUC,341,METHODS OF TEACHING READING II,"Daley,Sharon Lynn",19,19,3.937,3.428,100,0,0,0,0,0,0,0
EDUC,343,MATH IN THE ELEM SCHOOLS,"Bharaj,Pavneet Kaur",18,18,3.544,3.497,66.7,27.8,5.6,0,0,0,0,0
EDUC,343,MATH IN THE ELEM SCHOOLS,"Jacobson,Erik Daniel",21,21,3.448,3.591,47.6,52.4,0,0,0,0,0,0
EDUC,343,MATH IN THE ELEM SCHOOLS,"Jacobson,Erik Daniel",20,20,3.36,3.488,30,70,0,0,0,0,0,0
EDUC,343,MATH IN THE ELEM SCHOOLS,"Jacobson,Erik Daniel",21,21,3.581,3.366,66.7,33.3,0,0,0,0,0,0
EDUC,351,FOUNDATIONS EARLY CARE & ED II,"Maron Puntarelli,Cecilia A",14,14,3.743,3.452,78.6,21.4,0,0,0,0,0,0
EDUC,352,TCHNG/LRNING CHILDREN AGES 3-5,"Zoretic-Goodwin,Maria",14,14,3.65,3.452,71.4,28.6,0,0,0,0,0,0
EDUC,450,SENIOR SEM & STUDENT TCHG I,"McCormick,Kate Isabel",18,21,3.911,3.529,94.4,5.6,0,0,1,0,2,0
EDUC,500,TOPICAL EXPLORATION IN EDUC,"Leftwich,Anne Todd",9,9,4,3.885,100,0,0,0,0,0,0,0
EDUC,203,COMM FOR YOUTH-SERVING PROF,"Murphy,Quillian Devon",22,24,3.514,2.944,86.4,0,0,4.5,2,0,0,0
EDUC,203,COMM FOR YOUTH-SERVING PROF,"Gonzalez,Patricia Damaris",24,25,3.371,3.068,62.5,25,4.2,0,0,1,0,0
EDUC,203,COMM FOR YOUTH-SERVING PROF,"Hyman,Jacqueline Elizabeth",25,28,3.136,2.593,60,16,12,4,1,2,0,0
EDUC,203,COMM FOR YOUTH-SERVING PROF,"Klann,Elyssa Mariel",21,29,3.638,3.257,76.2,14.3,9.5,0,1,7,0,0
EDUC,206,INTRO TO COUNSELING PSYCHOLOGY,"Goodrich Mitts,Nancy",22,26,3.664,3.169,77.3,13.6,4.5,4.5,2,2,0,0
