DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W,WX,I,R
AMID,277,MTLS & COMPONENTS OF INT DES,"Smith,Kennon Michelle",23,23,3.413,3.117,65.2,21.7,8.7,4.3,0,0,0,0
AMID,374,ADV INT ARCH DES STUDIO: GC,"Newman,Marleen",8,9,3.75,2.835,87.5,0,12.5,0,0,0,0,0
AMID,374,ADV INT ARCH DES STUDIO: GC,"Wu,Jiangmei",11,12,3.764,3.48,81.8,18.2,0,0,0,1,0,0
AMID,476,INTERIOR DESIGN STUDIO 7,"Racek,Jonathan",14,14,3.671,3.312,71.4,28.6,0,0,0,0,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Shah,Anushree",19,21,3.458,2.895,63.2,21.1,15.8,0,1,1,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Shah,Anushree",14,22,3.679,3.184,78.6,21.4,0,0,0,8,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Shah,Anushree",18,24,3.45,3.032,72.2,5.6,22.2,0,2,4,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Deng,Yijun",7,10,3.871,3.173,100,0,0,0,0,3,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Deng,Yijun",11,11,3.255,2.911,63.6,18.2,9.1,9.1,0,0,0,0
AMID,202,INTRO TEXTILE SCIENCE: LAB,"Deng,Yijun",20,21,3.39,3.118,50,45,5,0,0,1,0,0
AMID,203,MATERIALS FOR FASHION DESIGN,"Embry,Mary Christine",122,124,3.237,3.114,46.7,36.1,13.9,2.5,1,1,0,0
AMID,213,FASHN DSGN I:RSCH & ILLUSTRATN,"Matranga,Mary Jane",14,14,3.736,3.053,71.4,28.6,0,0,0,0,0,0
AMID,213,FASHN DSGN I:RSCH & ILLUSTRATN,"Matranga,Mary Jane",10,11,3.34,3.153,50,40,10,0,1,0,0,0
AMID,217,FASHION DESIGN II:  IDEATION,"Matranga,Mary Jane",21,21,3.652,3.205,71.4,23.8,4.8,0,0,0,0,0
AMID,303,FASHION STUDIO II,"Frye,Lori E",23,24,3.283,3.203,47.8,39.1,13,0,1,0,0,0
AMID,311,HISTORY OF DRESS,"Rowold,Kathleen",19,23,3.542,3.225,63.2,26.3,10.5,0,2,2,0,0
AMID,328,EXPER FASHN STUDIO:DIGITL APPL,"Orr,David A",19,19,3.621,3.206,73.7,21.1,5.3,0,0,0,0,0
AMID,340,HISTORY OF FASHION,"Rowold,Kathleen",21,21,3.271,3.043,33.3,61.9,4.8,0,0,0,0,0
AMID,402,CLLCTN MGMT-HIST TEXTLS&COSTMS,"Richardson,Kelly Gallett",7,8,3.757,3.269,71.4,28.6,0,0,1,0,0,0
AMID,408,EXPER FASHION STUDIO: DRAPING,"Christiansen,Deborah Lynn",12,13,3.283,3.017,50,33.3,16.7,0,0,0,1,0
AMID,417,FASHN DSGN III:PRESENTATN&ANLS,"Christiansen,Deborah Lynn",19,21,3.489,3.124,47.4,52.6,0,0,1,0,1,0
AMID,204,APPAREL MFG & QUALITY ANALYSIS,"Bomberger,David Rick",44,52,3.298,3.183,45.5,45.5,6.8,0,1,7,0,0
AMID,209,APPAREL INDUSTRIES,"Copeland,Lauren Elizabeth Reiter",85,94,3.606,3.066,74.1,17.6,5.9,1.2,1,8,0,0
AMID,308,BRAND MANAGEMENT & ADVERTISING,"Hasty,Ashley",22,30,3.773,3.173,81.8,13.6,4.5,0,1,7,0,0
AMID,308,BRAND MANAGEMENT & ADVERTISING,"Hasty,Ashley",24,29,3.933,3.23,95.8,4.2,0,0,0,5,0,0
AMID,309,STRATEGIES IN RETAIL PROMOTION,"Hasty,Ashley",24,26,3.504,3.147,70.8,20.8,4.2,0,0,2,0,0
AMID,315,PRINCIPLES-RETAIL MERCHANDISNG,"Shaffer,Janis Lynn",38,41,3.158,3.275,36.8,44.7,15.8,2.6,1,2,0,0
AMID,315,PRINCIPLES-RETAIL MERCHANDISNG,"Shaffer,Janis Lynn",23,24,3.104,3.171,26.1,60.9,13,0,1,0,0,0
AMID,327,PRODUCT DEVELOPMENT,"Zhao,Li",15,17,3.627,3.26,66.7,33.3,0,0,0,2,0,0
AMID,327,PRODUCT DEVELOPMENT,"Zhao,Li",23,24,3.339,3.078,26.1,73.9,0,0,0,1,0,0
AMID,328,DIGITAL PRODUCT DEVELOPMENT,"Orr,David A",17,18,3.941,3.142,94.1,5.9,0,0,0,1,0,0
AMID,350,OMNICHANNEL APPAREL MERCHANDIS,"Kim,Minjeong",27,30,3.544,3.178,81.5,7.4,0,7.4,1,2,0,0
AMID,404,INTERNATL TEXTILES & APP TRADE,"Copeland,Lauren Elizabeth Reiter",54,56,3.233,3.113,38.9,50,11.1,0,0,2,0,0
AMID,405,INTL FASHION CONSUMERS&RETLRS,"Lennon,Sharron J.",26,27,2.935,2.987,19.2,61.5,15.4,0,0,1,0,0
AMID,410,APPAREL ENTREPRENEURSHIP,"Bomberger,David Rick",23,29,3.8,3.239,87,8.7,4.3,0,0,5,1,0
AMID,412,GLOBAL SOURCING,"Zhao,Li",24,28,3.563,3.078,58.3,33.3,8.3,0,0,4,0,0
AMID,413,PLANNING AND ANALYSIS,"Olsen,Dana R",29,31,3.786,3.282,82.8,17.2,0,0,1,1,0,0
AMID,413,PLANNING AND ANALYSIS,"Olsen,Dana R",28,30,3.482,3.1,60.7,32.1,7.1,0,0,2,0,0
AMID,413,PLANNING AND ANALYSIS,"Olsen,Dana R",19,19,3.089,2.841,42.1,36.8,15.8,0,0,0,0,0
AMID,416,SUSTAINABILITY IN PRODUCT,"Embry,Mary Christine",15,16,3.407,3.238,53.3,40,6.7,0,0,1,0,0
AMID,450,PROFILING THE APPAREL CUSTOMER,"Lennon,Sharron J.",25,28,3.132,3.03,24,72,0,0,0,3,0,0
AMID,485,ADV SPEC TOPICS: APP MDSE,"Hasty,Ashley",8,8,3.825,2.956,75,25,0,0,0,0,0,0
AMID,371,TEACHING INTERNSHIP IN AMID,"Christiansen,Deborah Lynn",22,22,3.968,3.495,95.5,4.5,0,0,0,0,0,0
AMST,100,WHAT IS AMERICA?,"Anderson,Paul Allen",138,170,2.887,3.02,47.1,15.2,24.6,8,10,22,0,0
AMST,100,WHAT IS AMERICA?,"Mowatt,Rasul A",104,175,2.651,2.841,32.7,32.7,17.3,1.9,17,52,2,0
AMST,150,INT NAT AM&INDIGENOUS STUDIES,"Kuhn,Jedediah Huggins",26,31,3.323,2.936,61.5,30.8,3.8,0,1,4,0,0
AMST,200,COMPARATIVE AMER IDENTITIES,"Holtzman,Dinah Elizabeth",38,42,3.197,3.06,50,34.2,5.3,10.5,2,2,0,0
AMST,200,COMPARATIVE AMER IDENTITIES,"Holtzman,Dinah Elizabeth",41,43,3.629,3.21,82.9,12.2,2.4,0,1,1,0,0
AMST,202,U.S. ARTS AND MEDIA,"Wester,Maisha",31,52,2.41,3.064,16.1,41.9,22.6,16.1,8,12,0,0
AMST,300,IMAGE OF AMERICA IN THE WORLD,"Frazier,Lessie Jo",25,32,3.668,3.11,76,16,8,0,0,7,0,0
AMST,399,ADVANCED TOPICS S&H FOR AMST,"McGerr,Michael Edward",15,15,3.1,2.952,46.7,33.3,13.3,6.7,0,0,0,0
AMST,399,ADVANCED TOPICS S&H FOR AMST,"Lepselter,Susan Claudia",6,7,3.883,3.496,83.3,16.7,0,0,1,0,0,0
AMST,450,SENIOR SEMINR-AMERICAN STUDIES,"Anderson,Paul Allen",8,9,2.963,2.901,37.5,50,0,0,0,1,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",37,45,2.595,3.271,18.9,43.2,21.6,10.8,3,5,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",40,47,2.918,3.252,32.5,37.5,22.5,5,3,4,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",40,42,2.605,3.38,40,15,22.5,15,1,1,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",37,46,2.411,3.217,29.7,16.2,27,16.2,3,5,1,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",35,44,2.223,3.09,22.9,25.7,25.7,5.7,4,5,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",35,43,2.411,3.16,25.7,22.9,34.3,2.9,2,6,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",37,42,2.489,3.215,27,29.7,21.6,10.8,3,2,0,0
ANAT,215,BASIC HUMAN ANATOMY,"Dougherty,George S.",36,43,2.508,3.246,27.8,36.1,11.1,16.7,5,2,0,0
