Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
1,Aparajita Nanda,4,African American Studies,R1A,A+,Fresh Composition
3,Aparajita Nanda,4,African American Studies,R1A,A,Fresh Composition
5,Aparajita Nanda,3.7,African American Studies,R1A,A-,Fresh Composition
5,Aparajita Nanda,3.3,African American Studies,R1A,B+,Fresh Composition
5,Aparajita Nanda,3,African American Studies,R1A,B,Fresh Composition
3,Aparajita Nanda,2.7,African American Studies,R1A,B-,Fresh Composition
1,Aparajita Nanda,2.3,African American Studies,R1A,C+,Fresh Composition
1,Aparajita Nanda,1.7,African American Studies,R1A,C-,Fresh Composition
1,Aparajita Nanda,0,African American Studies,R1A,F,Fresh Composition
1,Aparajita Nanda,4,African American Studies,R1B,A+,Freshmn Composition
4,Aparajita Nanda,4,African American Studies,R1B,A,Freshmn Composition
5,Aparajita Nanda,3.7,African American Studies,R1B,A-,Freshmn Composition
5,Aparajita Nanda,3.3,African American Studies,R1B,B+,Freshmn Composition
3,Aparajita Nanda,3,African American Studies,R1B,B,Freshmn Composition
3,Aparajita Nanda,2.7,African American Studies,R1B,B-,Freshmn Composition
1,Aparajita Nanda,2.3,African American Studies,R1B,C+,Freshmn Composition
1,Aparajita Nanda,2,African American Studies,R1B,C,Freshmn Composition
1,Aparajita Nanda,0,African American Studies,R1B,F,Freshmn Composition
2,G. Ugo Nwokeji,4,African American Studies,4A,A+,Africa:  Hist & Cul
2,G. Ugo Nwokeji,4,African American Studies,4A,A,Africa:  Hist & Cul
2,G. Ugo Nwokeji,3.7,African American Studies,4A,A-,Africa:  Hist & Cul
6,G. Ugo Nwokeji,3.3,African American Studies,4A,B+,Africa:  Hist & Cul
3,G. Ugo Nwokeji,3,African American Studies,4A,B,Africa:  Hist & Cul
4,G. Ugo Nwokeji,2.7,African American Studies,4A,B-,Africa:  Hist & Cul
1,G. Ugo Nwokeji,2,African American Studies,4A,C,Africa:  Hist & Cul
3,G. Ugo Nwokeji,1.7,African American Studies,4A,C-,Africa:  Hist & Cul
1,G. Ugo Nwokeji,0,African American Studies,4A,F,Africa:  Hist & Cul
1,G. Ugo Nwokeji,,African American Studies,4A,Pass,Africa:  Hist & Cul
27,Arif Gamal,4,African American Studies,4B,A,Africa:  Hist & Cul
1,Arif Gamal,3,African American Studies,4B,B,Africa:  Hist & Cul
3,Arif Gamal,0,African American Studies,4B,F,Africa:  Hist & Cul
4,Charles Henry; Kelley Deetz,4,African American Studies,119,A+,Selected Topics
5,Charles Henry; Kelley Deetz,4,African American Studies,119,A,Selected Topics
5,Charles Henry; Kelley Deetz,3.7,African American Studies,119,A-,Selected Topics
1,Charles Henry; Kelley Deetz,3.3,African American Studies,119,B+,Selected Topics
1,Charles Henry; Kelley Deetz,3,African American Studies,119,B,Selected Topics
2,Charles Henry; Kelley Deetz,2.7,African American Studies,119,B-,Selected Topics
2,Charles Henry; Kelley Deetz,2.3,African American Studies,119,C+,Selected Topics
1,Charles Henry; Kelley Deetz,,African American Studies,119,Pass,Selected Topics
