Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
3,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,1B,Letter Grade,Found Us Air Force
10,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,1B,Letter Grade,Found Us Air Force
1,Alexander Simpson; Christopher Carroll,3.7,Aerospace Studies,1B,Letter Grade,Found Us Air Force
2,Alexander Simpson; Christopher Carroll,0,Aerospace Studies,1B,Letter Grade,Found Us Air Force
5,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
4,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
4,Alexander Simpson; Christopher Carroll,3.7,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
14,Alexander Simpson; Christopher Carroll,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
3,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,135B,Letter Grade,Air Force Studies
2,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,135B,Letter Grade,Air Force Studies
1,Alexander Simpson; Christopher Carroll,3.7,Aerospace Studies,135B,Letter Grade,Air Force Studies
1,Alexander Simpson; Christopher Carroll,3,Aerospace Studies,135B,Letter Grade,Air Force Studies
6,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
2,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
7,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,2.3,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,2,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,,African American Studies,R1A,Non-Letter Grade,Fresh Composition
2,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
6,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Charisse Burden-Stelly; Nailah Suad-Bakari,4,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Charisse Burden-Stelly; Nailah Suad-Bakari,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Charisse Burden-Stelly; Nailah Suad-Bakari,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Charisse Burden-Stelly; Nailah Suad-Bakari,3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Charisse Burden-Stelly; Nailah Suad-Bakari,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Charisse Burden-Stelly; Nailah Suad-Bakari,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Nailah Suad-Bakari,4,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Nailah Suad-Bakari,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Nailah Suad-Bakari,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Nailah Suad-Bakari,3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Nailah Suad-Bakari,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
6,Nikki Jones,4,African American Studies,5B,Letter Grade,Afam Life & Cul U S
17,Nikki Jones,4,African American Studies,5B,Letter Grade,Afam Life & Cul U S
11,Nikki Jones,3.7,African American Studies,5B,Letter Grade,Afam Life & Cul U S
6,Nikki Jones,3.3,African American Studies,5B,Letter Grade,Afam Life & Cul U S
2,Nikki Jones,3,African American Studies,5B,Letter Grade,Afam Life & Cul U S
