Enrollment Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
5,10105,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
9,10105,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
9,10105,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
3,10105,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
1,10105,Aparajita Nanda,2.3,African American Studies,R1A,Letter Grade,Fresh Composition
5,10115,Petra Rivera,4,African American Studies,R1A,Letter Grade,Fresh Composition
3,10115,Petra Rivera,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
5,10115,Petra Rivera,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
3,10115,Petra Rivera,3,African American Studies,R1A,Letter Grade,Fresh Composition
1,10115,Petra Rivera,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
1,10115,Petra Rivera,1.7,African American Studies,R1A,Letter Grade,Fresh Composition
6,10125,Luisa Giulianetti,3.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,10125,Luisa Giulianetti,3.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
6,10125,Luisa Giulianetti,3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
2,10125,Luisa Giulianetti,2.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
2,10130,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
7,10130,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
6,10130,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
5,10130,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10130,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,10130,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
3,10130,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,10130,Aparajita Nanda,2,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10130,Aparajita Nanda,0,African American Studies,R1B,Letter Grade,Freshmn Composition
5,10140,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
6,10140,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
5,10140,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
4,10140,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,10140,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10140,Aparajita Nanda,1.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10140,Aparajita Nanda,0,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10150,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,10150,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
6,10150,G. Ugo Nwokeji,3.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
5,10150,G. Ugo Nwokeji,3.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,10150,G. Ugo Nwokeji,3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,10150,G. Ugo Nwokeji,2.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,10150,G. Ugo Nwokeji,2.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,10150,G. Ugo Nwokeji,2,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,10150,G. Ugo Nwokeji,1.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
5,10150,G. Ugo Nwokeji,,African American Studies,4A,Non-Letter Grade,Africa:  Hist & Cul
27,10160,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
7,10160,Arif Gamal,3.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
1,10160,Arif Gamal,3.3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
4,10160,Arif Gamal,3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
2,10167,Cara Stanley,4,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
4,10167,Cara Stanley,4,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,10167,Cara Stanley,3.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,10167,Cara Stanley,3.3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,10167,Cara Stanley,3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,10167,Cara Stanley,2.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
5,10190,Charles Henry; Ronald Williams; Shaun Ossei-Owusu,4,African American Studies,N124,Letter Grade,Pol Phil M L King
15,10190,Charles Henry; Ronald Williams; Shaun Ossei-Owusu,4,African American Studies,N124,Letter Grade,Pol Phil M L King
17,10190,Charles Henry; Ronald Williams; Shaun Ossei-Owusu,3.7,African American Studies,N124,Letter Grade,Pol Phil M L King
10,10190,Charles Henry; Ronald Williams; Shaun Ossei-Owusu,3.3,African American Studies,N124,Letter Grade,Pol Phil M L King
11,10190,Charles Henry; Ronald Williams; Shaun Ossei-Owusu,3,African American Studies,N124,Letter Grade,Pol Phil M L King
6,10190,Charles Henry; Ronald Williams; Shaun Ossei-Owusu,2.7,African American Studies,N124,Letter Grade,Pol Phil M L King
2,10190,Charles Henry; Ronald Williams; Shaun Ossei-Owusu,2.3,African American Studies,N124,Letter Grade,Pol Phil M L King
4,10190,Charles Henry; Ronald Williams; Shaun Ossei-Owusu,2,African American Studies,N124,Letter Grade,Pol Phil M L King
