Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
3,Lindsey Herbert,4,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
4,Lindsey Herbert,3.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
4,Lindsey Herbert,3.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
3,Lindsey Herbert,3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,Lindsey Herbert,2.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,Lindsey Herbert,2.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
3,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,2,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,0,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,,African American Studies,R1B,Non-Letter Grade,Freshmn Composition
4,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,2,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,0,African American Studies,R1B,Letter Grade,Freshmn Composition
2,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,3.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,3.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,G. Ugo Nwokeji,3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,2.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,,African American Studies,4A,Non-Letter Grade,Africa:  Hist & Cul
4,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
10,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
9,Arif Gamal,3.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
5,Arif Gamal,3.3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
2,Arif Gamal,3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
1,Arif Gamal,2.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
1,Arif Gamal,0,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
1,Arif Gamal,,African American Studies,4B,Non-Letter Grade,Africa:  Hist & Cul
2,Cara Stanley,4,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,Cara Stanley,3.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,Cara Stanley,3.3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
1,Cara Stanley,3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,Cara Stanley,2.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
1,Cara Stanley,2.3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,Cara Stanley,2,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
1,Cara Stanley,,African American Studies,39D,Non-Letter Grade,Fresh/Soph Seminar
1,John Patton,4,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
3,John Patton,3.7,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
4,John Patton,3.3,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
3,John Patton,3,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
4,John Patton,2.7,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
3,John Patton,,African American Studies,39E,Non-Letter Grade,Fresh/Soph Seminar
11,Stephen Small,4,African American Studies,W111,Letter Grade,Race:  Class & Gen
15,Stephen Small,3.7,African American Studies,W111,Letter Grade,Race:  Class & Gen
9,Stephen Small,3.3,African American Studies,W111,Letter Grade,Race:  Class & Gen
4,Stephen Small,3,African American Studies,W111,Letter Grade,Race:  Class & Gen
5,Stephen Small,2.7,African American Studies,W111,Letter Grade,Race:  Class & Gen
4,Stephen Small,2,African American Studies,W111,Letter Grade,Race:  Class & Gen
3,Stephen Small,0,African American Studies,W111,Letter Grade,Race:  Class & Gen
20,Stephen Small,,African American Studies,W111,Non-Letter Grade,Race:  Class & Gen
3,Stephen Small,,African American Studies,W111,Non-Letter Grade,Race:  Class & Gen
3,Sam Mchombo,4,African American Studies,115,Letter Grade,Lang Soc Iss Africa
9,Sam Mchombo,4,African American Studies,115,Letter Grade,Lang Soc Iss Africa
4,Sam Mchombo,3.7,African American Studies,115,Letter Grade,Lang Soc Iss Africa
5,Charles Henry,4,African American Studies,W124,Letter Grade,Pol Phil M L King
8,Charles Henry,4,African American Studies,W124,Letter Grade,Pol Phil M L King
4,Charles Henry,3.7,African American Studies,W124,Letter Grade,Pol Phil M L King
1,Charles Henry,3.3,African American Studies,W124,Letter Grade,Pol Phil M L King
1,Charles Henry,3,African American Studies,W124,Letter Grade,Pol Phil M L King
1,Charles Henry,2,African American Studies,W124,Letter Grade,Pol Phil M L King
2,Charles Henry,1.7,African American Studies,W124,Letter Grade,Pol Phil M L King
1,Charles Henry,1,African American Studies,W124,Letter Grade,Pol Phil M L King
3,Charles Henry,0,African American Studies,W124,Letter Grade,Pol Phil M L King
