Enrollment Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
3,10105,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
3,10105,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
1,10105,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
2,10105,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
2,10125,Luisa Giulianetti,3.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
4,10125,Luisa Giulianetti,3.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
5,10125,Luisa Giulianetti,3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,10125,Luisa Giulianetti,2.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,10125,Luisa Giulianetti,2.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
2,10125,Luisa Giulianetti,2,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,10125,Luisa Giulianetti,1.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
4,10130,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
7,10130,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
5,10130,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,10130,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,10130,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10130,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
4,10130,Aparajita Nanda,0,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10130,Aparajita Nanda,,African American Studies,R1B,Non-Letter Grade,Freshmn Composition
1,10140,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
3,10140,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
7,10140,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
6,10140,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
4,10140,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,10140,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
2,10140,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10140,Aparajita Nanda,0,African American Studies,R1B,Letter Grade,Freshmn Composition
1,10150,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,10150,G. Ugo Nwokeji,3.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,10150,G. Ugo Nwokeji,3.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,10150,G. Ugo Nwokeji,2.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,10150,G. Ugo Nwokeji,2.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,10150,G. Ugo Nwokeji,1.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,10150,G. Ugo Nwokeji,1.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,10150,G. Ugo Nwokeji,,African American Studies,4A,Non-Letter Grade,Africa:  Hist & Cul
1,10150,G. Ugo Nwokeji,,African American Studies,4A,Non-Letter Grade,Africa:  Hist & Cul
11,10160,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
5,10160,Arif Gamal,3.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
1,10160,Arif Gamal,,African American Studies,4B,Non-Letter Grade,Africa:  Hist & Cul
1,10170,Cara Stanley,4,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,10170,Cara Stanley,3.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
4,10170,Cara Stanley,3.3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
7,10170,Cara Stanley,3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,10170,Cara Stanley,,African American Studies,39D,Non-Letter Grade,Fresh/Soph Seminar
1,10175,John Patton,4,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
1,10175,John Patton,3.3,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
2,10175,John Patton,3,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
3,10175,John Patton,2.7,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
1,10175,John Patton,2.3,African American Studies,39E,Letter Grade,Fresh/Soph Seminar
7,10175,John Patton,,African American Studies,39E,Non-Letter Grade,Fresh/Soph Seminar
