Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
3,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,1B,Letter Grade,Found Us Air Force
16,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,1B,Letter Grade,Found Us Air Force
1,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,3.7,Aerospace Studies,1B,Letter Grade,Found Us Air Force
5,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,3,Aerospace Studies,1B,Letter Grade,Found Us Air Force
3,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,0,Aerospace Studies,1B,Letter Grade,Found Us Air Force
1,Mack-Jan Spencer,4,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
3,Mack-Jan Spencer,4,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
5,Mack-Jan Spencer,3.7,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
1,Mack-Jan Spencer,3.3,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
1,Mack-Jan Spencer,3,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
2,Mack-Jan Spencer,2.7,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
41,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
2,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
2,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,135B,Letter Grade,Air Force Studies
3,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,4,Aerospace Studies,135B,Letter Grade,Air Force Studies
1,Alexander Simpson; Mack-Jan Spencer; Mariko Boone,3.3,Aerospace Studies,135B,Letter Grade,Air Force Studies
3,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
4,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
4,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
2,Aparajita Nanda,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
3,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Lia Bascomb; Nailah Suad-Bakari,4,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Lia Bascomb; Nailah Suad-Bakari,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Lia Bascomb; Nailah Suad-Bakari,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Lia Bascomb; Nailah Suad-Bakari,3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Lia Bascomb; Nailah Suad-Bakari,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Lia Bascomb; Nailah Suad-Bakari,2,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Lia Bascomb; Nailah Suad-Bakari,1.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Lia Bascomb; Nailah Suad-Bakari,1.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Lia Bascomb; Nailah Suad-Bakari,,African American Studies,R1B,Non-Letter Grade,Freshmn Composition
15,Ronald Williams,4,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Ronald Williams,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Ronald Williams,0,African American Studies,R1B,Letter Grade,Freshmn Composition
4,G. Ugo Nwokeji,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
7,G. Ugo Nwokeji,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
13,G. Ugo Nwokeji,3.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
14,G. Ugo Nwokeji,3.3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
8,G. Ugo Nwokeji,3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
7,G. Ugo Nwokeji,2.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
2,G. Ugo Nwokeji,2.3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
5,G. Ugo Nwokeji,2,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,1.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
1,G. Ugo Nwokeji,0.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
2,G. Ugo Nwokeji,0,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
11,G. Ugo Nwokeji,,African American Studies,4B,Non-Letter Grade,Africa:  Hist & Cul
3,Brandi Catanese,4,African American Studies,5A,Letter Grade,Afam Life & Cul U S
19,Brandi Catanese,4,African American Studies,5A,Letter Grade,Afam Life & Cul U S
10,Brandi Catanese,3.7,African American Studies,5A,Letter Grade,Afam Life & Cul U S
4,Brandi Catanese,3.3,African American Studies,5A,Letter Grade,Afam Life & Cul U S
5,Brandi Catanese,3,African American Studies,5A,Letter Grade,Afam Life & Cul U S
4,Brandi Catanese,2.7,African American Studies,5A,Letter Grade,Afam Life & Cul U S
2,Brandi Catanese,2.3,African American Studies,5A,Letter Grade,Afam Life & Cul U S
1,Brandi Catanese,2,African American Studies,5A,Letter Grade,Afam Life & Cul U S
1,Brandi Catanese,0,African American Studies,5A,Letter Grade,Afam Life & Cul U S
8,Brandi Catanese,,African American Studies,5A,Non-Letter Grade,Afam Life & Cul U S
1,Brandi Catanese,,African American Studies,5A,Non-Letter Grade,Afam Life & Cul U S
2,Alassane Sow,4,African American Studies,7B,Letter Grade,Elementary Wolof
1,Alassane Sow,4,African American Studies,8B,Letter Grade,Intermediate Wolof
1,Alassane Sow,3,African American Studies,8B,Letter Grade,Intermediate Wolof
1,Sam Mchombo,4,African American Studies,10B,Letter Grade,Intermed Swahili
5,Sam Mchombo,4,African American Studies,10B,Letter Grade,Intermed Swahili
2,Sam Mchombo,,African American Studies,10B,Non-Letter Grade,Intermed Swahili
2,Edwin Okongo,4,African American Studies,11B,Letter Grade,Elementary Swahili
7,Edwin Okongo,4,African American Studies,11B,Letter Grade,Elementary Swahili
4,Edwin Okongo,3.7,African American Studies,11B,Letter Grade,Elementary Swahili
5,Edwin Okongo,3.3,African American Studies,11B,Letter Grade,Elementary Swahili
2,Edwin Okongo,3,African American Studies,11B,Letter Grade,Elementary Swahili
3,Edwin Okongo,2.7,African American Studies,11B,Letter Grade,Elementary Swahili
2,Edwin Okongo,4,African American Studies,11B,Letter Grade,Elementary Swahili
6,Edwin Okongo,4,African American Studies,11B,Letter Grade,Elementary Swahili
4,Edwin Okongo,3.3,African American Studies,11B,Letter Grade,Elementary Swahili
1,Edwin Okongo,3,African American Studies,11B,Letter Grade,Elementary Swahili
1,Edwin Okongo,2.7,African American Studies,11B,Letter Grade,Elementary Swahili
1,Edwin Okongo,2.3,African American Studies,11B,Letter Grade,Elementary Swahili
1,Edwin Okongo,,African American Studies,11B,Non-Letter Grade,Elementary Swahili
2,Joseph Omwamba,4,African American Studies,15B,Letter Grade,Advanced Swahili
1,Joseph Omwamba,2.3,African American Studies,15B,Letter Grade,Advanced Swahili
12,Sam Mchombo,,African American Studies,24,Non-Letter Grade,Freshman Seminars
1,Cara Stanley,4,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,Cara Stanley,3.3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,Cara Stanley,3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,Cara Stanley,2.7,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
3,Cara Stanley,2.3,African American Studies,39D,Letter Grade,Fresh/Soph Seminar
2,Cara Stanley,,African American Studies,39D,Non-Letter Grade,Fresh/Soph Seminar
5,Nailah Suad-Bakari; Natasha Huey,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
10,Robert Allen,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
13,Ronald Williams,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
41,Nailah Suad-Bakari,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
2,Nailah Suad-Bakari,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
17,Nailah Suad-Bakari,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
24,Nailah Suad-Bakari,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
5,Nailah Suad-Bakari,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
1,Nailah Suad-Bakari,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
1,Nailah Suad-Bakari,,African American Studies,98,Non-Letter Grade,Directed Group Stdy
5,Ronald Williams,4,African American Studies,107,Letter Grade,Race And Pub Policy
3,Ronald Williams,3.7,African American Studies,107,Letter Grade,Race And Pub Policy
9,Ronald Williams,3.3,African American Studies,107,Letter Grade,Race And Pub Policy
3,Ronald Williams,3,African American Studies,107,Letter Grade,Race And Pub Policy
3,Ronald Williams,2.7,African American Studies,107,Letter Grade,Race And Pub Policy
4,Ronald Williams,2,African American Studies,107,Letter Grade,Race And Pub Policy
2,Ronald Williams,1.7,African American Studies,107,Letter Grade,Race And Pub Policy
2,Ronald Williams,0.7,African American Studies,107,Letter Grade,Race And Pub Policy
1,Ronald Williams,0,African American Studies,107,Letter Grade,Race And Pub Policy
5,Ronald Williams,,African American Studies,107,Non-Letter Grade,Race And Pub Policy
3,Ronald Williams,,African American Studies,107,Non-Letter Grade,Race And Pub Policy
5,John Patton,4,African American Studies,109,Letter Grade,Black/Male Am Life
8,John Patton,4,African American Studies,109,Letter Grade,Black/Male Am Life
5,John Patton,3.7,African American Studies,109,Letter Grade,Black/Male Am Life
2,John Patton,3.3,African American Studies,109,Letter Grade,Black/Male Am Life
4,John Patton,3,African American Studies,109,Letter Grade,Black/Male Am Life
5,John Patton,2.7,African American Studies,109,Letter Grade,Black/Male Am Life
4,John Patton,2.3,African American Studies,109,Letter Grade,Black/Male Am Life
2,John Patton,2,African American Studies,109,Letter Grade,Black/Male Am Life
1,John Patton,,African American Studies,109,Non-Letter Grade,Black/Male Am Life
10,Kwame Nimako,4,African American Studies,112B,Letter Grade,Pol/Eco Dev 3rd Wld
11,Kwame Nimako,3.7,African American Studies,112B,Letter Grade,Pol/Eco Dev 3rd Wld
3,Kwame Nimako,3.3,African American Studies,112B,Letter Grade,Pol/Eco Dev 3rd Wld
3,Kwame Nimako,3,African American Studies,112B,Letter Grade,Pol/Eco Dev 3rd Wld
1,Kwame Nimako,,African American Studies,112B,Non-Letter Grade,Pol/Eco Dev 3rd Wld
1,Kwame Nimako,,African American Studies,112B,Non-Letter Grade,Pol/Eco Dev 3rd Wld
2,Sam Mchombo,4,African American Studies,114,Letter Grade,Ling Strtr Bnt Lang
4,Sam Mchombo,3.7,African American Studies,114,Letter Grade,Ling Strtr Bnt Lang
1,Sam Mchombo,3.3,African American Studies,114,Letter Grade,Ling Strtr Bnt Lang
1,Sam Mchombo,2.7,African American Studies,114,Letter Grade,Ling Strtr Bnt Lang
1,Sam Mchombo,,African American Studies,114,Non-Letter Grade,Ling Strtr Bnt Lang
2,Ula Taylor,4,African American Studies,117,Letter Grade,Afric Am:Indust Age
7,Ula Taylor,3.7,African American Studies,117,Letter Grade,Afric Am:Indust Age
6,Ula Taylor,3.3,African American Studies,117,Letter Grade,Afric Am:Indust Age
1,Ula Taylor,3,African American Studies,117,Letter Grade,Afric Am:Indust Age
5,Ula Taylor,2.3,African American Studies,117,Letter Grade,Afric Am:Indust Age
1,Ula Taylor,1.7,African American Studies,117,Letter Grade,Afric Am:Indust Age
1,Ula Taylor,1.3,African American Studies,117,Letter Grade,Afric Am:Indust Age
2,Ula Taylor,0,African American Studies,117,Letter Grade,Afric Am:Indust Age
2,Hardy Frye,4,African American Studies,122,Letter Grade,Afam Family:  Am Soc
3,Hardy Frye,4,African American Studies,122,Letter Grade,Afam Family:  Am Soc
7,Hardy Frye,3.7,African American Studies,122,Letter Grade,Afam Family:  Am Soc
5,Hardy Frye,3.3,African American Studies,122,Letter Grade,Afam Family:  Am Soc
2,Hardy Frye,3,African American Studies,122,Letter Grade,Afam Family:  Am Soc
3,Hardy Frye,2.7,African American Studies,122,Letter Grade,Afam Family:  Am Soc
1,Hardy Frye,0,African American Studies,122,Letter Grade,Afam Family:  Am Soc
2,Hardy Frye,,African American Studies,122,Non-Letter Grade,Afam Family:  Am Soc
3,Hardy Frye,,African American Studies,122,Non-Letter Grade,Afam Family:  Am Soc
2,Stephen Small,4,African American Studies,123,Letter Grade,Social & Political
4,Stephen Small,4,African American Studies,123,Letter Grade,Social & Political
3,Stephen Small,3.7,African American Studies,123,Letter Grade,Social & Political
3,Stephen Small,3.3,African American Studies,123,Letter Grade,Social & Political
1,Stephen Small,0,African American Studies,123,Letter Grade,Social & Political
1,Stephen Small,,African American Studies,123,Non-Letter Grade,Social & Political
6,Ula Taylor,4,African American Studies,125,Letter Grade,Hist Civ Rights Mov
1,Ula Taylor,3.7,African American Studies,125,Letter Grade,Hist Civ Rights Mov
2,Ula Taylor,3.3,African American Studies,125,Letter Grade,Hist Civ Rights Mov
5,Ula Taylor,2.7,African American Studies,125,Letter Grade,Hist Civ Rights Mov
3,Ula Taylor,2,African American Studies,125,Letter Grade,Hist Civ Rights Mov
1,Ula Taylor,1.3,African American Studies,125,Letter Grade,Hist Civ Rights Mov
1,Ula Taylor,0.7,African American Studies,125,Letter Grade,Hist Civ Rights Mov
1,Ula Taylor,,African American Studies,125,Non-Letter Grade,Hist Civ Rights Mov
19,Michel Laguerre,4,African American Studies,131,Letter Grade,Carib Soc:  Cultures
4,Michel Laguerre,3.7,African American Studies,131,Letter Grade,Carib Soc:  Cultures
1,Michel Laguerre,3,African American Studies,131,Letter Grade,Carib Soc:  Cultures
1,Michel Laguerre,,African American Studies,131,Non-Letter Grade,Carib Soc:  Cultures
1,Michel Laguerre,,African American Studies,131,Non-Letter Grade,Carib Soc:  Cultures
