Enrollment Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
5,57303,Amber Henson,4,Aerospace Studies,1,Letter Grade,Usaf & Nat Sec
3,57303,Amber Henson,4,Aerospace Studies,1,Letter Grade,Usaf & Nat Sec
1,57303,Amber Henson,3.7,Aerospace Studies,1,Letter Grade,Usaf & Nat Sec
1,57303,Amber Henson,3.3,Aerospace Studies,1,Letter Grade,Usaf & Nat Sec
2,57303,Amber Henson,3,Aerospace Studies,1,Letter Grade,Usaf & Nat Sec
1,57303,Amber Henson,2.7,Aerospace Studies,1,Letter Grade,Usaf & Nat Sec
2,57303,Amber Henson,2,Aerospace Studies,1,Letter Grade,Usaf & Nat Sec
1,57303,Amber Henson,0,Aerospace Studies,1,Letter Grade,Usaf & Nat Sec
1,57303,Amber Henson,,Aerospace Studies,1,Non-Letter Grade,Usaf & Nat Sec
2,57306,Amber Henson,4,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
2,57306,Amber Henson,3.7,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
1,57306,Amber Henson,3.3,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
2,57306,Amber Henson,2.7,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
1,57306,Amber Henson,2.3,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
2,57306,Amber Henson,2,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
1,57306,Amber Henson,,Aerospace Studies,2A,Non-Letter Grade,Evolut Of Air Power
17,57309,Vincent Lau,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
1,57312,Bradford Jensen,4,Aerospace Studies,135A,Letter Grade,Air Force Studies
2,57312,Bradford Jensen,4,Aerospace Studies,135A,Letter Grade,Air Force Studies
1,57312,Bradford Jensen,3.7,Aerospace Studies,135A,Letter Grade,Air Force Studies
1,57312,Bradford Jensen,3.3,Aerospace Studies,135A,Letter Grade,Air Force Studies
3,57312,Bradford Jensen,3,Aerospace Studies,135A,Letter Grade,Air Force Studies
4,00503,Donnett Flash,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
9,00503,Donnett Flash,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
3,00503,Donnett Flash,3,African American Studies,R1A,Letter Grade,Fresh Composition
1,00503,Donnett Flash,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
1,00503,Donnett Flash,0,African American Studies,R1A,Letter Grade,Fresh Composition
6,00509,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
