Enrollment Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
8,57303,Charles Rice,4,Aerospace Studies,1A,Letter Grade,Found Us Air Force
7,57303,Charles Rice,4,Aerospace Studies,1A,Letter Grade,Found Us Air Force
5,57303,Charles Rice,3.7,Aerospace Studies,1A,Letter Grade,Found Us Air Force
3,57303,Charles Rice,3.3,Aerospace Studies,1A,Letter Grade,Found Us Air Force
1,57303,Charles Rice,3,Aerospace Studies,1A,Letter Grade,Found Us Air Force
2,57303,Charles Rice,2.7,Aerospace Studies,1A,Letter Grade,Found Us Air Force
2,57303,Charles Rice,0,Aerospace Studies,1A,Letter Grade,Found Us Air Force
7,57306,Charles Rice,4,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
6,57306,Charles Rice,4,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
7,57306,Charles Rice,3.7,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
1,57306,Charles Rice,3,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
1,57306,Charles Rice,2.7,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
2,57306,Charles Rice,,Aerospace Studies,2A,Non-Letter Grade,Evolut Of Air Power
39,57309,Amber Henson,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
1,57312,Amber Henson,4,Aerospace Studies,135A,Letter Grade,Air Force Studies
2,57312,Amber Henson,4,Aerospace Studies,135A,Letter Grade,Air Force Studies
1,57312,Amber Henson,2.7,Aerospace Studies,135A,Letter Grade,Air Force Studies
1,00503,Ariane Cruz; Charles Henry,4,African American Studies,R1A,Letter Grade,Fresh Composition
10,00503,Ariane Cruz; Charles Henry,4,African American Studies,R1A,Letter Grade,Fresh Composition
8,00503,Ariane Cruz; Charles Henry,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
11,00503,Ariane Cruz; Charles Henry,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
6,00503,Ariane Cruz; Charles Henry,3,African American Studies,R1A,Letter Grade,Fresh Composition
2,00503,Ariane Cruz; Charles Henry,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
1,00503,Ariane Cruz; Charles Henry,0,African American Studies,R1A,Letter Grade,Fresh Composition
5,00509,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
3,00509,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
5,00509,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
5,00509,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,00509,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
3,00509,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,00509,Aparajita Nanda,2,African American Studies,R1B,Letter Grade,Freshmn Composition
1,00509,Aparajita Nanda,1.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,00515,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
9,00515,G. Ugo Nwokeji,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
11,00515,G. Ugo Nwokeji,3.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
14,00515,G. Ugo Nwokeji,3.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
14,00515,G. Ugo Nwokeji,3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,00515,G. Ugo Nwokeji,2.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
4,00515,G. Ugo Nwokeji,2.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
3,00515,G. Ugo Nwokeji,2,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
6,00515,G. Ugo Nwokeji,1.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
1,00515,G. Ugo Nwokeji,1.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
4,00515,G. Ugo Nwokeji,,African American Studies,4A,Non-Letter Grade,Africa:  Hist & Cul
4,00515,G. Ugo Nwokeji,,African American Studies,4A,Non-Letter Grade,Africa:  Hist & Cul
8,00530,Brandi Catanese,4,African American Studies,5A,Letter Grade,Afam Life & Cul U S
20,00530,Brandi Catanese,4,African American Studies,5A,Letter Grade,Afam Life & Cul U S
2,00530,Brandi Catanese,3.7,African American Studies,5A,Letter Grade,Afam Life & Cul U S
7,00530,Brandi Catanese,3.3,African American Studies,5A,Letter Grade,Afam Life & Cul U S
6,00530,Brandi Catanese,3,African American Studies,5A,Letter Grade,Afam Life & Cul U S
5,00530,Brandi Catanese,2.7,African American Studies,5A,Letter Grade,Afam Life & Cul U S
1,00530,Brandi Catanese,2.3,African American Studies,5A,Letter Grade,Afam Life & Cul U S
3,00530,Brandi Catanese,2,African American Studies,5A,Letter Grade,Afam Life & Cul U S
1,00530,Brandi Catanese,1.7,African American Studies,5A,Letter Grade,Afam Life & Cul U S
1,00530,Brandi Catanese,1.3,African American Studies,5A,Letter Grade,Afam Life & Cul U S
5,00530,Brandi Catanese,1,African American Studies,5A,Letter Grade,Afam Life & Cul U S
1,00530,Brandi Catanese,0.7,African American Studies,5A,Letter Grade,Afam Life & Cul U S
8,00530,Brandi Catanese,0,African American Studies,5A,Letter Grade,Afam Life & Cul U S
3,00530,Brandi Catanese,,African American Studies,5A,Non-Letter Grade,Afam Life & Cul U S
1,00530,Brandi Catanese,,African American Studies,5A,Non-Letter Grade,Afam Life & Cul U S
1,00544,Alassane Sow,4,African American Studies,C7A,Letter Grade,Elementary Wolof
1,00544,Alassane Sow,4,African American Studies,C7A,Letter Grade,Elementary Wolof
1,00544,Alassane Sow,3.3,African American Studies,C7A,Letter Grade,Elementary Wolof
1,00544,Alassane Sow,,African American Studies,C7A,Non-Letter Grade,Elementary Wolof
1,00806,Alassane Sow,4,African American Studies,C8A,Letter Grade,Intermediate Wolof
1,00806,Alassane Sow,4,African American Studies,C8A,Letter Grade,Intermediate Wolof
2,00548,Joseph Omwamba,4,African American Studies,C10A,Letter Grade,Intermed Swahili
1,00548,Joseph Omwamba,3.7,African American Studies,C10A,Letter Grade,Intermed Swahili
1,00548,Joseph Omwamba,,African American Studies,C10A,Non-Letter Grade,Intermed Swahili
2,00551,James Njoroge,4,African American Studies,C11A,Letter Grade,Elementary Swahili
2,00551,James Njoroge,3.7,African American Studies,C11A,Letter Grade,Elementary Swahili
1,00551,James Njoroge,3.3,African American Studies,C11A,Letter Grade,Elementary Swahili
3,00551,James Njoroge,3,African American Studies,C11A,Letter Grade,Elementary Swahili
3,00551,James Njoroge,2.7,African American Studies,C11A,Letter Grade,Elementary Swahili
2,00551,James Njoroge,,African American Studies,C11A,Non-Letter Grade,Elementary Swahili
