Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
6,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
6,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
5,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
4,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
3,Aparajita Nanda,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,2.3,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,2,African American Studies,R1A,Letter Grade,Fresh Composition
1,Luisa Giulianetti,4,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
4,Luisa Giulianetti,3.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
5,Luisa Giulianetti,3.3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
3,Luisa Giulianetti,3,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,Luisa Giulianetti,2.7,African American Studies,R1AN,Letter Grade,R & C Sum Bdg
1,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
5,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
8,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
4,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,2.7,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,2.3,African American Studies,R1B,Letter Grade,Freshmn Composition
2,Aparajita Nanda,2,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,0,African American Studies,R1B,Letter Grade,Freshmn Composition
8,Arif Gamal,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
8,Arif Gamal,4,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
9,Arif Gamal,3.7,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
5,Arif Gamal,3.3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,Arif Gamal,3,African American Studies,4A,Letter Grade,Africa:  Hist & Cul
2,Arif Gamal,,African American Studies,4A,Non-Letter Grade,Africa:  Hist & Cul
11,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
21,Arif Gamal,4,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
6,Arif Gamal,3.7,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
5,Arif Gamal,3.3,African American Studies,4B,Letter Grade,Africa:  Hist & Cul
5,Leigh Raiford,4,African American Studies,119,Letter Grade,Selected Topics
7,Leigh Raiford,3.7,African American Studies,119,Letter Grade,Selected Topics
3,Leigh Raiford,3.3,African American Studies,119,Letter Grade,Selected Topics
3,Leigh Raiford,3,African American Studies,119,Letter Grade,Selected Topics
1,Leigh Raiford,2.7,African American Studies,119,Letter Grade,Selected Topics
2,Leigh Raiford,2.3,African American Studies,119,Letter Grade,Selected Topics
1,Leigh Raiford,2,African American Studies,119,Letter Grade,Selected Topics
1,Leigh Raiford,1.7,African American Studies,119,Letter Grade,Selected Topics
1,Leigh Raiford,1,African American Studies,119,Letter Grade,Selected Topics
2,Leigh Raiford,,African American Studies,119,Non-Letter Grade,Selected Topics
1,Leigh Raiford,,African American Studies,119,Non-Letter Grade,Selected Topics
1,Leigh Raiford,,African American Studies,119,Non-Letter Grade,Selected Topics
12,Charles Henry,4,African American Studies,N124,Letter Grade,Pol Phil M L King
23,Charles Henry,3.7,African American Studies,N124,Letter Grade,Pol Phil M L King
18,Charles Henry,3.3,African American Studies,N124,Letter Grade,Pol Phil M L King
12,Charles Henry,3,African American Studies,N124,Letter Grade,Pol Phil M L King
5,Charles Henry,2.7,African American Studies,N124,Letter Grade,Pol Phil M L King
4,Charles Henry,2.3,African American Studies,N124,Letter Grade,Pol Phil M L King
3,Charles Henry,2,African American Studies,N124,Letter Grade,Pol Phil M L King
2,Charles Henry,1.7,African American Studies,N124,Letter Grade,Pol Phil M L King
1,Charles Henry,1.3,African American Studies,N124,Letter Grade,Pol Phil M L King
1,Charles Henry,1,African American Studies,N124,Letter Grade,Pol Phil M L King
12,Charles Henry,0,African American Studies,N124,Letter Grade,Pol Phil M L King
22,Charles Henry,,African American Studies,N124,Non-Letter Grade,Pol Phil M L King
7,Charles Henry,,African American Studies,N124,Non-Letter Grade,Pol Phil M L King
4,Lisa Morris; Ula Taylor,4,African American Studies,139,Letter Grade,Sel Top:Africam Soc
8,Lisa Morris; Ula Taylor,4,African American Studies,139,Letter Grade,Sel Top:Africam Soc
5,Lisa Morris; Ula Taylor,3.7,African American Studies,139,Letter Grade,Sel Top:Africam Soc
3,Lisa Morris; Ula Taylor,3.3,African American Studies,139,Letter Grade,Sel Top:Africam Soc
3,Lisa Morris; Ula Taylor,,African American Studies,139,Non-Letter Grade,Sel Top:Africam Soc
1,Lisa Morris; Ula Taylor,,African American Studies,139,Non-Letter Grade,Sel Top:Africam Soc
1,Ula Taylor; Zakiyyah Jackson,4,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Ula Taylor; Zakiyyah Jackson,4,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Ula Taylor; Zakiyyah Jackson,3.3,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Ula Taylor; Zakiyyah Jackson,2.3,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Ula Taylor; Zakiyyah Jackson,1.7,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Ula Taylor; Zakiyyah Jackson,1,African American Studies,139,Letter Grade,Sel Top:Africam Soc
1,Ula Taylor; Zakiyyah Jackson,0,African American Studies,139,Letter Grade,Sel Top:Africam Soc
2,Ula Taylor; Zakiyyah Jackson,,African American Studies,139,Non-Letter Grade,Sel Top:Africam Soc
3,Frederick Vincent,4,African American Studies,159,Letter Grade,Spec Top Afam Lit
6,Frederick Vincent,4,African American Studies,159,Letter Grade,Spec Top Afam Lit
2,Frederick Vincent,3.7,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Frederick Vincent,3.3,African American Studies,159,Letter Grade,Spec Top Afam Lit
4,Frederick Vincent,3,African American Studies,159,Letter Grade,Spec Top Afam Lit
1,Frederick Vincent,2.7,African American Studies,159,Letter Grade,Spec Top Afam Lit
2,Frederick Vincent,,African American Studies,159,Non-Letter Grade,Spec Top Afam Lit
1,Frederick Vincent,,African American Studies,159,Non-Letter Grade,Spec Top Afam Lit
1,Robert Allen,,African American Studies,199,Non-Letter Grade,Superv Indep Study
1,Percy Hintzen,4,African American Studies,299,Letter Grade,Ind Stdy/Res
3,Ann Harrison,,Ag & Resource Econ & Pol,298,Non-Letter Grade,Special Study
