Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
1,Brian Stone; Dave Bautista,4,Aerospace Studies,1A,A+,Found Us Air Force
3,Brian Stone; Dave Bautista,4,Aerospace Studies,1A,A,Found Us Air Force
5,Brian Stone; Dave Bautista,3.7,Aerospace Studies,1A,A-,Found Us Air Force
3,Brian Stone; Dave Bautista,3.3,Aerospace Studies,1A,B+,Found Us Air Force
4,Brian Stone; Dave Bautista,3,Aerospace Studies,1A,B,Found Us Air Force
2,Brian Stone; Dave Bautista,2.3,Aerospace Studies,1A,C+,Found Us Air Force
1,Brian Stone; Dave Bautista,,Aerospace Studies,1A,Pass,Found Us Air Force
3,Brian Stone; Dave Bautista,4,Aerospace Studies,2A,A,Evolut Of Air Power
5,Brian Stone; Dave Bautista,3.7,Aerospace Studies,2A,A-,Evolut Of Air Power
2,Brian Stone; Dave Bautista,3.3,Aerospace Studies,2A,B+,Evolut Of Air Power
1,Brian Stone; Dave Bautista,3,Aerospace Studies,2A,B,Evolut Of Air Power
1,Brian Stone; Dave Bautista,2.7,Aerospace Studies,2A,B-,Evolut Of Air Power
36,Charles Rice,,Aerospace Studies,100,Pass,Leadership Lab
1,Charles Rice,,Aerospace Studies,100,Not Pass,Leadership Lab
5,Charles Rice,4,Aerospace Studies,135A,A+,Air Force Studies
1,Charles Rice,4,Aerospace Studies,135A,A,Air Force Studies
2,Charles Rice,3.7,Aerospace Studies,135A,A-,Air Force Studies
1,Charles Rice,3.3,Aerospace Studies,135A,B+,Air Force Studies
1,Charles Rice,2.7,Aerospace Studies,135A,B-,Air Force Studies
15,Charles Henry; Ronald Williams,4,African American Studies,R1A,A,Fresh Composition
1,Charles Henry; Ronald Williams,3.3,African American Studies,R1A,B+,Fresh Composition
1,Charles Henry; Ronald Williams,3,African American Studies,R1A,B,Fresh Composition
1,Charles Henry; Ronald Williams,2.7,African American Studies,R1A,B-,Fresh Composition
1,Charles Henry; Ivy Mills,4,African American Studies,R1A,A,Fresh Composition
