Enrollment Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
9,57302,Charles Rice,4,Aerospace Studies,1B,Letter Grade,Found Us Air Force
6,57302,Charles Rice,4,Aerospace Studies,1B,Letter Grade,Found Us Air Force
6,57302,Charles Rice,3.7,Aerospace Studies,1B,Letter Grade,Found Us Air Force
1,57302,Charles Rice,3.3,Aerospace Studies,1B,Letter Grade,Found Us Air Force
1,57302,Charles Rice,2.7,Aerospace Studies,1B,Letter Grade,Found Us Air Force
3,57302,Charles Rice,,Aerospace Studies,1B,Non-Letter Grade,Found Us Air Force
4,57303,Charles Rice,4,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
2,57303,Charles Rice,3.7,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
2,57303,Charles Rice,3.3,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
1,57303,Charles Rice,3,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
1,57303,Charles Rice,2.7,Aerospace Studies,2B,Letter Grade,Evolut Of Air Power
4,57303,Charles Rice,,Aerospace Studies,2B,Non-Letter Grade,Evolut Of Air Power
34,57306,Charles Rice,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
2,57306,Charles Rice,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
2,57309,Kathryn Parker,4,Aerospace Studies,135B,Letter Grade,Air Force Studies
2,57309,Kathryn Parker,3.7,Aerospace Studies,135B,Letter Grade,Air Force Studies
1,00503,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
5,00503,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
5,00503,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
7,00503,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
5,00503,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
2,00503,Aparajita Nanda,2.7,African American Studies,R1A,Letter Grade,Fresh Composition
1,00503,Aparajita Nanda,2.3,African American Studies,R1A,Letter Grade,Fresh Composition
1,00509,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
4,00509,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
8,00509,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
