Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
18,Kimberly Suczynski,,Environmental Design,9,Pass,Intro To Env Des
1,Michelle Chang,4,Environmental Design,11A,A,Intro Vis Rep Draw
3,Michelle Chang,3.7,Environmental Design,11A,A-,Intro Vis Rep Draw
1,Michelle Chang,3.3,Environmental Design,11A,B+,Intro Vis Rep Draw
2,Michelle Chang,3,Environmental Design,11A,B,Intro Vis Rep Draw
1,Michelle Chang,2.7,Environmental Design,11A,B-,Intro Vis Rep Draw
2,Michelle Chang,2,Environmental Design,11A,C,Intro Vis Rep Draw
1,Michelle Chang,,Environmental Design,11A,Pass,Intro Vis Rep Draw
3,Raveevarn Choksombatchai,4,Environmental Design,11B,A,Intro To Design
5,Raveevarn Choksombatchai,3.7,Environmental Design,11B,A-,Intro To Design
